Id,Code,Name,Defense,MagicDef,Slot,Price,Weight,Type,Position,Property,MinLvl,EquipGroup,Refinable,Breakable,Icon,Sprite,Comment,,
2223,Turban_,,3,0,1,4500,300,Headgear,Upper,,0,NotNovice,Yes,Yes,둥근모자,둥근모자,,,
2224,Goggles,,5,0,0,20,300,Headgear,TopMid,,0,NonCaster,Yes,Yes,고글,고글,,,
2225,Goggles_,,5,0,1,20,300,Headgear,TopMid,,0,NonCaster,Yes,Yes,고글,고글,,,
2226,Cap,,4,0,0,12000,400,Headgear,Upper,,0,NonCaster,Yes,Yes,캡,캡,,,
2227,Cap_,,4,0,1,12000,400,Headgear,Upper,,0,NonCaster,Yes,Yes,캡,캡,,,
2228,Helm,,6,0,0,44000,600,Headgear,Upper,,0,Swordsman,Yes,Yes,헬름,헬름,,,
2229,Helm_,,6,0,1,44000,600,Headgear,Upper,,0,Swordsman,Yes,Yes,헬름,헬름,,,
2230,Gemmed_Sallet,,4,0,0,50000,500,Headgear,Upper,,0,SwordUser-N,Yes,Yes,쥬얼헬름,,,,
2231,Gemmed_Sallet_,,4,0,1,50000,500,Headgear,Upper,,0,SwordUser-N,Yes,Yes,쥬얼헬름,,,,
2232,Circlet,,3,0,0,7500,300,Headgear,Upper,,0,MagicUser,Yes,Yes,서클릿,서클릿,,,
2233,Circlet_,,3,0,1,7500,300,Headgear,Upper,,0,MagicUser,Yes,Yes,서클릿,서클릿,,,
2234,Tiara,,4,0,0,20,400,Headgear,Upper,,45,NotNovice,Yes,Yes,티아라,티아라,,,
2235,Crown,,4,0,0,20,400,Headgear,Upper,,45,NotNovice,Yes,Yes,크라운,크라운,,,
2236,Santa_Hat,,1,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,산타모자,산타모자,,,
2239,Monocle,,0,0,0,10000,100,Headgear,Mid,,0,Any,No,No,외눈안경,외눈안경,,,
2241,Grampa_Beard,,0,0,0,5000,100,Headgear,Lower,,0,Any,No,No,흰수염,흰수염,,,
2242,Luxury_Sunglasses,,1,0,0,24000,100,Headgear,Mid,,0,Any,No,No,고급선글래스,고급선글래스,,,
2243,Geek_Glasses,,1,0,0,20000,100,Headgear,Mid,,0,Any,No,No,스핀글래스,스핀글래스,,,
2244,Big_Ribbon,,2,0,0,15000,200,Headgear,Upper,,0,NotNovice,Yes,Yes,왕리본,왕리본,,,
2245,Sweet_Gent,,3,0,0,15000,400,Headgear,Upper,,0,NotNovice,Yes,Yes,스위트젠틀,스위트젠틀,,,
2246,Golden_Gear,,5,0,0,20,900,Headgear,Upper,,40,NotNovice,Yes,No,골든헤드기어,골든헤드기어,,,
2247,Romantic_Gent,,3,0,0,15000,400,Headgear,Upper,,0,NotNovice,Yes,Yes,올드스터로맨스,올드스터로맨스,,,
2248,Western_Grace,,3,0,0,15000,400,Headgear,Upper,,0,NotNovice,Yes,Yes,웨스턴그레이스,웨스턴그레이스,,,
2249,Coronet,,3,0,0,20,300,Headgear,Upper,,0,NotNovice,Yes,Yes,코로넷,코로넷,,,
2250,Cute_Ribbon,,1,0,0,500,100,Headgear,Upper,,0,NotNovice,Yes,Yes,머리끈,머리끈,,,
2251,Monk_Hat,,5,0,0,30000,100,Headgear,Upper,,0,Acolyte,Yes,Yes,성직자의모자,성직자의모자,,,
2252,Wizard_Hat,,4,0,0,20,300,Headgear,Upper,,0,Mage,Yes,Yes,위저드햇,위저드햇,,,
2253,Sunflower,,1,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,장식용해바라기,장식용해바라기,,,
2254,Angel_Wing,,2,0,0,20,100,Headgear,Upper,,0,NotNovice,Yes,Yes,천사의머리띠,천사의머리띠,,,
2255,Evil_Wing,,3,0,0,20,100,Headgear,Upper,,0,NotNovice,Yes,Yes,악마의머리띠,악마의머리띠,,,
2256,Magestic_Goat,,5,0,0,20,800,Headgear,Upper,,0,HeavySword,Yes,Yes,마제스틱고우트,마제스틱고우트,,,
2257,Unicorn_Horn,,2,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,새하얀뿔,새하얀뿔,,,
2258,Spiky_Band,,6,0,0,20,1000,Headgear,Upper,,50,MeleeUser,Yes,Yes,샤프헤드기어,샤프헤드기어,,,
2259,Mini_Propeller,,1,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,프로펠라,프로펠라,,,
2260,Mini_Glasses,,1,0,0,28000,100,Headgear,Mid,,0,Any,No,No,미니글래스,미니글래스,,,
2261,Prontera_Army_Cap,,4,0,0,20,400,Headgear,Upper,,0,SwordUser-N,Yes,Yes,프론테라군모,프론테라군모,,,
2262,Pierrot_Nose,,0,0,0,20,100,Headgear,Lower,,0,Any,No,No,광대코,광대코,,,
2263,Zorro_Mask,,0,0,0,20,100,Headgear,Mid,,0,Any,No,No,의적안대,의적안대,,,
2264,Munak_Hat,,5,0,0,20,300,Headgear,TopMid,,0,Any,Yes,Yes,무낙모자,무낙모자,,,
2265,Ganster_Mask,,0,0,0,20,100,Headgear,Lower,,0,NotNovice,No,No,시위용마스크,시위용마스크,,,
2266,Iron_Cane,,1,0,0,20,300,Headgear,Lower,,50,Swordsman,No,No,아이언케인,아이언케인,,,
2267,Cigar,,0,0,0,20,100,Headgear,Lower,,0,NotNovice,No,No,담배,담배,,,
2268,Smoking_Pipe,,0,0,0,20,100,Headgear,Lower,,0,NotNovice,No,No,파이프담배,파이프담배,,,
2269,Romantic_Flower,,0,0,0,20,100,Headgear,Lower,,0,NotNovice,No,No,꽃잎,꽃잎,,,
2270,Romantic_Leaf,,0,0,0,20,100,Headgear,Lower,,0,NotNovice,No,No,풀잎,풀잎,,,
2271,Jack_be_Dandy,,1,0,0,45000,100,Headgear,Upper,,0,NotNovice,Yes,Yes,머리안경,머리안경,,,
2272,Stop_Post,,1,0,0,20,400,Headgear,Upper,,0,Any,Yes,Yes,정지표지판,정지표지판,,,
2273,Doctor_Band,,3,0,0,20,100,Headgear,Upper,,0,NotNovice,Yes,Yes,의사머리띠,의사머리띠,,,
2274,Ghost_Bandana,,0,0,0,20,100,Headgear,Upper,,0,NotNovice,Yes,Yes,망자의머리띠,망자의머리띠,,,
2275,Red_Bandana,,2,0,0,20,100,Headgear,Upper,,0,Acolyte,Yes,Yes,반다나,반다나,,,
2276,Angled_Glasses,,1,0,0,20,100,Headgear,Mid,,0,Any,No,No,도끼눈,도끼눈,,,
2277,Nurse_Cap,,2,0,0,100,100,Headgear,Upper,,0,Any,Yes,Yes,간호모,간호모,,,
2278,Mr_Smile,,1,0,0,60,100,Headgear,MidLower,,0,Any,No,No,스마일,스마일,,,
2279,Bomb_Wick,,1,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,심지,심지,,,
2280,Sahkkat,,3,0,0,20,300,Headgear,Upper,,0,Any,Yes,Yes,삿갓,삿갓,,,
2281,Opera_Masque,,2,0,0,20,200,Headgear,MidLower,,0,Any,No,No,오페라가면,오페라가면,,,
2282,Halo,,0,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,영혼고리,영혼고리,,,
2283,Ear_Mufs,,3,0,0,20,200,Headgear,Upper,,0,Any,Yes,Yes,귀마개,귀마개,,,
2284,Antler,,4,0,0,20,500,Headgear,Upper,,0,NotNovice,Yes,Yes,사슴뿔,사슴뿔,,,
2285,Apple_Of_Archer,,0,0,0,20,200,Headgear,Upper,,50,NotNovice,Yes,Yes,명사수의사과,명사수의사과,,,
2286,Elven_Ears,,0,0,0,20,100,Headgear,Mid,,70,NotNovice,No,No,요정의귀,요정의귀,,,
2287,Pirate_Bandana,,3,0,0,20,100,Headgear,Upper,,0,NotNovice,Yes,Yes,해적두건,해적두건,,,
2288,Mr_Scream,,1,0,0,20,700,Headgear,MidLower,,0,NotNovice,No,No,스크래치마스크,스크래치마스크,,,
2289,Poo_Hat,,0,0,0,3000,100,Headgear,Upper,,0,Any,Yes,Yes,거시기,거시기,,,
2290,Funeral_Hat,,1,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,장례건,장례건,,,
2291,Masquerade,,0,0,0,20,100,Headgear,Mid,,0,NotNovice,No,No,나비가면,나비가면,,,
2292,Welding_Mask,,1,0,0,20,300,Headgear,MidLower,,50,Any,No,No,용접마스크,용접마스크,,,
2293,Pretend_Murder,,1,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,연극소도구,연극소도구,,,
2294,Stardust_Hairpin,,1,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,스타더스트,스타더스트,,,
2295,Blinder,,0,0,0,1500,100,Headgear,Mid,,0,NotNovice,No,No,눈가리개,눈가리개,,,
2296,Binoculars,,1,0,0,20,100,Headgear,Mid,,50,Archer,No,No,망원경,망원경,,,
2297,Goblin_Mask,,1,0,0,20,100,Headgear,MidLower,,0,Any,No,No,고블린족가면,고블린족가면,,,
2298,Green_Feeler,,2,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,초록더듬이,초록더듬이,,,
2299,Viking_Helm,,5,0,0,20,500,Headgear,Upper,,0,SwordUser-N,Yes,Yes,오크족헬름,오크족헬름,,,
2301,Cotton_Shirt,,1,0,0,10,100,Body,,Neutral,0,Any,Yes,Yes,코튼셔츠,,,,
2302,Cotton_Shirt_,,1,0,1,10,100,Body,,Neutral,0,Any,Yes,Yes,코튼셔츠,,,,
2303,Leather_Jacket,,2,0,0,200,200,Body,,Neutral,0,Any,Yes,Yes,가죽재킷,,,,
2304,Leather_Jacket_,,2,0,1,200,200,Body,,Neutral,0,Any,Yes,Yes,가죽재킷,,,,
2305,Adventurer_Suit,,3,0,0,1000,300,Body,,Neutral,0,Any,Yes,Yes,어드밴쳐슈츠,,,,
2306,Adventurer_Suit_,,3,0,1,1000,300,Body,,Neutral,0,Any,Yes,Yes,어드밴쳐슈츠,,,,
2307,Mantle,,4,0,0,10000,600,Body,,Neutral,0,NotNovice,Yes,Yes,맨틀,,,,
2308,Mantle_,,4,0,1,10000,600,Body,,Neutral,0,NotNovice,Yes,Yes,맨틀,,,,
2309,Coat,,5,0,0,22000,1200,Body,,Neutral,0,NotNovice,Yes,Yes,롱코트,,,,
2310,Coat_,,5,0,1,22000,1200,Body,,Neutral,0,NotNovice,Yes,Yes,롱코트,,,,
2311,Mink_Coat,,6,0,1,20,2300,Body,,Neutral,30,NotNovice,Yes,Yes,밍크코트,,,,
2312,Padded_Armor,,7,0,0,48000,2800,Body,,Neutral,0,SwordUser-N,Yes,Yes,아머,,,,
2313,Padded_Armor_,,7,0,1,48000,2800,Body,,Neutral,0,SwordUser-N,Yes,Yes,아머,,,,
2314,Chain_Mail,,8,0,0,65000,3300,Body,,Neutral,0,SwordUser-N,Yes,Yes,메일,,,,
2315,Chain_Mail_,,8,0,1,65000,3300,Body,,Neutral,0,SwordUser-N,Yes,Yes,메일,,,,
2316,Full_Plate,,10,0,0,80000,4500,Body,,Neutral,40,Swordsman,Yes,Yes,플레이트,,,,
2317,Flull_Plate_,,10,0,1,80000,4500,Body,,Neutral,40,Swordsman,Yes,Yes,플레이트,,,,
2318,Lords_Clothes,,8,5,1,20,2500,Body,,Neutral,70,Merchant,Yes,Yes,로드클로스,,,,
2319,Glittering_Jacket,,7,5,1,20,2500,Body,,Neutral,60,NotNovice,Yes,Yes,글리터링클로스,,,,
2320,Formal_Suit,,5,0,1,20,300,Body,,Neutral,0,NotNovice,Yes,Yes,포멀드레스,,,,
2321,Silk_Robe,,3,10,0,8000,400,Body,,Neutral,0,NotArcherThief,Yes,Yes,실크로브,,,,
2322,Silk_Robe_,,3,10,1,8000,400,Body,,Neutral,0,NotArcherThief,Yes,Yes,실크로브,,,,
2323,Scapulare,,4,0,0,6500,400,Body,,Neutral,0,Acolyte,Yes,Yes,스캐퓰러,,,,
2324,Scapulare_,,4,0,1,6500,400,Body,,Neutral,0,Acolyte,Yes,Yes,스캐퓰러,,,,
2325,Saint_Robe,,6,5,0,54000,600,Body,,Neutral,0,MerchantAcolyte,Yes,Yes,세인트로브,,,,
2326,Saint_Robe_,,6,5,1,54000,600,Body,,Neutral,0,MerchantAcolyte,Yes,Yes,세인트로브,,,,
2327,Holy_Robe,,7,5,0,20,1700,Body,,Neutral,60,Acolyte,Yes,Yes,홀리로브,,,,
2328,Wooden_Mail,,4,0,0,5500,1000,Body,,Neutral,0,HeavySword,Yes,Yes,우든메일,,,,
2329,Wooden_Mail_,,4,0,1,5500,1000,Body,,Neutral,0,HeavySword,Yes,Yes,우든메일,,,,
2330,Tights,,6,0,0,71000,500,Body,,Neutral,45,Archer,Yes,Yes,타이즈,,,,
2331,Tights_,,6,0,1,71000,500,Body,,Neutral,45,Archer,Yes,Yes,타이즈,,,,
2332,Silver_Robe,,4,0,0,7000,700,Body,,Neutral,0,NotArcherThief,Yes,Yes,실버로브,,,,
2333,Silver_Robe_,,4,0,1,7000,700,Body,,Neutral,0,NotArcherThief,Yes,Yes,실버로브,,,,
2334,Mage_Coat,,5,5,0,20,600,Body,,Neutral,50,Mage,Yes,Yes,매직코트,,,,
2335,Thief_Clothes,,6,0,0,74000,100,Body,,Neutral,0,Thief,Yes,Yes,씨프클로스,,,,
2336,Thief_Clothes_,,6,0,1,74000,100,Body,,Neutral,0,Thief,Yes,Yes,씨프클로스,,,,
2337,Ninja_Suit,,7,3,0,20,1500,Body,,Neutral,50,Thief,Yes,Yes,닌자슈츠,,,,
2338,Wedding_Dress,,0,15,0,43000,500,Body,,Neutral,0,Any,Yes,Yes,웨딩드레스,,,,
2339,Pantie,,4,0,0,1000,100,Body,,Neutral,0,Any,Yes,Yes,삼각팬티,,,,
2340,Novice_Breastplate,,4,0,1,1,500,Body,,Neutral,10,Novice,Yes,Yes,초보자용흉갑,,,,
2341,Legion_Plate_Armor,,11,0,0,94000,5500,Body,,Neutral,70,Swordsman,Yes,Yes,풀플레이트아머,,,,
2342,Legion_Plate_Armor_,,11,0,1,102500,5500,Body,,Neutral,70,Swordsman,Yes,Yes,풀플레이트아머,,,,
2343,Robe_Of_Casting,,5,4,0,124800,1100,Body,,Neutral,75,Mage,Yes,Yes,캐스팅의로브,,,,
2401,Sandals,,1,0,0,400,200,Footgear,,,0,Any,Yes,Yes,샌들,,,,
2402,Sandals_,,1,0,1,400,200,Footgear,,,0,Any,Yes,Yes,샌들,,,,
2403,Shoes,,2,0,0,3500,400,Footgear,,,0,Any,Yes,Yes,슈즈,,,,
2404,Shoes_,,2,0,1,3500,400,Footgear,,,0,Any,Yes,Yes,슈즈,,,,
2405,Boots,,4,0,0,18000,600,Footgear,,,0,HeavySword,Yes,Yes,부츠,,,,
2406,Boots_,,4,0,1,18000,600,Footgear,,,0,HeavySword,Yes,Yes,부츠,,,,
2407,Crystal_Pumps,,0,10,0,20,100,Footgear,,,0,NotNovice,Yes,Yes,유리구두,,,,
2408,Shackles,,3,0,0,5000,3000,Footgear,,,0,Any,Yes,Yes,족쇠,,,,
2409,High_Heels,,2,5,0,8500,600,Footgear,,,0,Any,Yes,Yes,뾰족구두,,,,
2410,Sleipnir,,5,10,0,20,3500,Footgear,,,94,Any,No,No,슬레이프니르,,,,
2411,Greaves,,5,0,0,48000,750,Footgear,,,65,Swordsman,Yes,Yes,그리브,,,,
2412,Greaves_,,5,0,1,54000,750,Footgear,,,65,Swordsman,Yes,Yes,그리브,,,,
2501,Hood,,1,0,0,1000,200,Garment,,,0,Any,Yes,Yes,후드,,,,
2502,Hood_,,1,0,1,1000,200,Garment,,,0,Any,Yes,Yes,후드,,,,
2503,Muffler,,2,0,0,5000,400,Garment,,,0,Any,Yes,Yes,머플러,,,,
2504,Muffler_,,2,0,1,5000,400,Garment,,,0,Any,Yes,Yes,머플러,,,,
2505,Manteau,,4,0,0,32000,600,Garment,,,0,SwordUser-N,Yes,Yes,망토,,,,
2506,Manteau_,,4,0,1,32000,600,Garment,,,0,SwordUser-N,Yes,Yes,망토,,,,
2507,Ancient_Cape,,2,0,0,82000,600,Garment,,,0,NotNovice,Yes,Yes,옛영주의망토,,,,
2508,Ragamuffin_Manteau,,1,10,0,56000,500,Garment,,,40,NotNovice,Yes,Yes,누더기망토,,,,
2601,Ring,,0,0,0,30000,100,Accessory,,,20,NotNovice,No,No,링,,,,
2602,Earring,,0,0,0,30000,100,Accessory,,,20,NotNovice,No,No,이어링,,,,
2603,Necklace,,0,0,0,30000,100,Accessory,,,20,NotNovice,No,No,네클리스,,,,
2604,Glove,,0,0,0,30000,100,Accessory,,,20,NotNovice,No,No,글러브,,,,
2605,Brooch,,0,0,0,30000,100,Accessory,,,20,NotNovice,No,No,브로치,,,,
2607,Clip,,0,0,1,30000,100,Accessory,,,0,Any,No,No,클립,,,,
2608,Rosary,,0,5,0,15000,100,Accessory,,,20,NotNovice,No,No,로자리,,,,
2609,Skull_Ring,,0,0,0,10000,100,Accessory,,,0,Any,No,No,해골반지,,,,
2610,Gold_Ring,,0,0,0,30000,100,Accessory,,,0,Any,No,No,금반지,,,,
2611,Silver_Ring,,0,0,0,20000,100,Accessory,,,0,Any,No,No,은반지,,,,
2612,Flower_Ring,,0,0,0,1500,100,Accessory,,,0,Any,No,No,꽃반지,,,,
2613,Diamond_Ring,,0,0,0,45000,100,Accessory,,,0,Any,No,No,다이아반지,,,,
2614,Eye_of_Dullahan,,0,0,0,90000,100,Accessory,,,50,NotNovice,No,No,듀라한아이,,,,
2615,Safety_Ring,,3,3,0,75000,100,Accessory,,,40,Any,No,No,세이프티링,,,,
2616,Critical_Ring,,0,0,0,75000,100,Accessory,,,40,Any,No,No,크리티컬링,,,,
2617,Celebrant_Mitten,,1,0,0,2,100,Accessory,,,35,NotNovice,No,No,신관의장갑,,,,
2618,Matyr_Leash,,1,0,0,2,100,Accessory,,,35,NotNovice,No,No,마타의목걸이,,,,
2619,Bow_Thimble,,0,0,0,10000,100,Accessory,,,65,NotNovice,No,No,활골무,,,,
2620,Rogue_Treasure,,0,0,0,10000,100,Accessory,,,70,NotNovice,No,No,도적의반지,,,,
2621,Ring_,,0,0,1,30000,100,Accessory,,,90,NotNovice,No,No,링,,,,
2622,Earring_,,0,0,1,30000,100,Accessory,,,90,NotNovice,No,No,이어링,,,,
2623,Necklace_,,0,0,1,30000,100,Accessory,,,90,NotNovice,No,No,네클리스,,,,
2624,Glove_,,0,0,1,30000,100,Accessory,,,90,NotNovice,No,No,글러브,,,,
2625,Brooch_,,0,0,1,30000,100,Accessory,,,90,NotNovice,No,No,브로치,,,,
2626,Rosary_,,0,3,1,15000,100,Accessory,,,90,NotNovice,No,No,로자리,,,,
2627,Belt,,0,0,1,20000,1200,Accessory,,,25,Any,No,No,벨트,,,,
2628,Novice_Armlet,,0,0,1,400,200,Accessory,,,1,Any,No,No,노비스암릿,,,,
5001,Headset,,3,0,0,20,200,Headgear,Upper,,1,Any,Yes,No,헤드폰,헤드폰,,5001,Headset
5002,Gemmed_Crown,,4,3,0,20,600,Headgear,Upper,,60,Any,Yes,No,쥬얼크라운,쥬얼크라운,,5002,Gemmed_Crown
5003,Joker_Jester,,1,5,0,20,100,Headgear,Upper,,0,Any,Yes,No,광대모자,광대모자,,5003,Joker_Jester
5004,Oxygen_Mask,,0,0,0,20,200,Headgear,Lower,,0,Any,No,No,산소마스크,산소마스크,,5004,Oxygen_Mask
5005,Gas_Mask,,1,0,0,,,Headgear,MidLower,,0,Any,No,No,,가스마스크,,,
5006,Machoman_Glasses,,1,0,0,36000,100,Headgear,Mid,,0,Any,No,No,하트파운데이션,하트파운데이션,,5006,Machoman_Glasses
5007,Loard_Circlet,,3,4,0,20,200,Headgear,Upper,,55,Any,Yes,No,로드서클릿,로드서클릿,,5007,Loard_Circlet
5008,Puppy_Love,,1,0,0,20,100,Headgear,Upper,,0,Any,No,No,풋사랑,풋사랑,,5008,Puppy_Love
5009,Safety_Helmet,,3,3,0,20,500,Headgear,Upper,,0,Any,Yes,Yes,안전모,안전모,,5009,Safety_Helmet
5010,Indian_Hair_Piece,,3,0,0,20,100,Headgear,Upper,,0,Any,Yes,No,원주민머리띠,원주민머리띠,,5010,Indian_Hair_Piece
5011,Antenna,,3,0,0,20,100,Headgear,Upper,,0,Any,Yes,No,안테나,안테나,,5011,Antenna
5012,Ph.D_Hat,,3,0,0,20,200,Headgear,Upper,,0,Any,Yes,No,학사모,학사모,,5012,Ph.D_Hat
5013,Horn_Of_Lord_Kaho,,5,10,0,20,100,Headgear,Upper,,0,Any,Yes,No,로드카호의뿔,로드카호의뿔,,5013,Horn_Of_Lord_Kaho
5014,Fin_Helm,,2,0,0,20,300,Headgear,Mid,,65,Any,No,No,핀헬름,핀헬름,,5014,Fin_Helm
5015,Egg_Shell,,3,0,0,20,200,Headgear,Upper,,0,Any,No,No,장식용알껍질,장식용알껍질,,5015,Egg_Shell
5016,Boy's_Cap,,2,0,0,20,100,Headgear,Upper,,0,Any,Yes,No,학생모,학생모,,5016,Boy's_Cap
5017,Bone_Helm,,7,0,0,20,800,Headgear,Upper,,70,Any,Yes,No,본헬름,본헬름,,5017,Bone_Helm
5018,Feather_Bonnet,,4,0,0,20,300,Headgear,Upper,,0,Any,Yes,No,깃털모자,깃털모자,,5018,Feather_Bonnet
5019,Corsair,,5,0,0,20,500,Headgear,Upper,,0,Any,Yes,No,커세어,커세어,,5019,Corsair
5020,Kafra_Band,,3,3,0,20,100,Headgear,Upper,,0,Any,Yes,No,카프라의머리띠,카프라의머리띠,,,
5021,Bankruptcy_Of_Heart,,4,0,0,20,1200,Headgear,Upper,,38,Any,Yes,No,돈잃은자의마음,돈잃은자의마음,,5021,Bankruptcy_Of_Heart
5023,Hat_Of_Bundle,,0,0,0,20,1000,Headgear,Upper,,0,Any,Yes,No,보따리모,보따리모,,5023,Hat_Of_Bundle
5024,Hat_Of_Cake,,1,0,0,20,1000,Headgear,Upper,,0,Any,Yes,No,케이크모자,케이크모자,,5024,Hat_Of_Cake
5025,Helm_Of_Angel,,5,3,0,20,1600,Headgear,Upper,,74,Any,Yes,No,천사의투구,천사의투구,,5025,Helm_Of_Angel
5026,Hat_Of_Cook,,1,0,0,20,300,Headgear,Upper,,50,Any,Yes,No,요리사의모자,요리사의모자,,5026,Hat_Of_Cook
5027,Wizardry_Hat,,1,0,0,20,300,Headgear,Upper,,0,Any,Yes,No,마법사의모자,마법사의모자,,5027,Wizardry_Hat
5028,Candle,,0,0,0,20,150,Headgear,Upper,,0,Any,Yes,No,촛불,촛불,,5028,Candle
5029,Spore_Hat,,3,0,0,20,900,Headgear,Upper,,20,Any,Yes,No,스포아모자,스포아모자,,5029,Spore_Hat
5030,Panda_Cap,,3,0,0,20,800,Headgear,Upper,,40,Any,Yes,No,팬더곰모자,팬더곰모자,,5030,Panda_Cap
5031,Mine_Helm,,4,0,0,20,1500,Headgear,Upper,,55,Any,Yes,No,광산헬멧,광산헬멧,,5031,Mine_Helm
5032,Picnic_Hat,,1,0,0,20,800,Headgear,Upper,,0,Any,Yes,No,나들이모자,나들이모자,,5032,Picnic_Hat
5033,Smokie_Hat,,3,0,0,20,900,Headgear,Upper,,50,Any,Yes,No,너구리모자,너구리모자,,5033,Smokie_Hat
5034,Light_Bulb_Band,,0,0,0,20,500,Headgear,Upper,,0,Any,Yes,No,전구머리띠,전구머리띠,,5034,Light_Bulb_Band
5035,Poring_Hat,,2,0,0,20,700,Headgear,Upper,,38,Any,Yes,No,포링모자,포링모자,,5035,Poring_Hat
5036,Cross_Band,,1,0,0,20,250,Headgear,Upper,,10,Any,Yes,No,십자머리띠,십자머리띠,,5036,Cross_Band
5037,Fruit_Shell,,4,0,0,20,150,Headgear,Upper,,5,Any,No,No,열매껍질,열매껍질,,5037,Fruit_Shell
5038,Deviruchi_Cap,,2,0,0,20,800,Headgear,Upper,,64,Any,Yes,No,새끼악마모자,새끼악마모자,,5038,Deviruchi_Cap
5039,Mottled_Egg_Shell,,4,0,0,20,400,Headgear,Upper,,19,Any,No,No,알록달록알껍질,알록달록알껍질,,5039,Mottled_Egg_Shell
5040,Blush,,0,0,0,20,100,Headgear,Mid,,0,Any,No,No,발그레,발그레,,5040,Blush
5041,Heart_Hair_Pin,,0,0,0,20,100,Headgear,Upper,,0,Any,Yes,No,하트머리핀,하트머리핀,,5041,Heart_Hair_Pin
