Monster,Item1,Chance1,Item2,Chance2,Item3,Chance3,Item4,Chance4,Item5,Chance5,Item6,Chance6,Item7,Chance7,Item8,Chance8
Maya_Puple,,,,,,,,,,,,,,,,
Golem,,,,,,,,,,,,,,,,
Muka,,,,,,,,,,,,,,,,
Ant_Egg,,,,,,,,,,,,,,,,
Anacondaq,,,,,,,,,,,,,,,,
Frilldora,,,,,,,,,,,,,,,,
Desert_Wolf,Katar_,5,Claw_Of_Desert_Wolf,5500,Mink_Coat,1,Meat,1200,Claw_Of_Wolves,2000,Oridecon_Stone,53,Stiletto_,140,Desert_Wolf_Card,1
Side_Winder,,,,,,,,,,,,,,,,
Hode,,,,,,,,,,,,,,,,
Phreeoni,,,,,,,,,,,,,,,,
Sand_Man,,,,,,,,,,,,,,,,
Steel_Chonchon,,,,,,,,,,,,,,,,
Dragon_Fly,,,,,,,,,,,,,,,,
Hunter_Fly,,,,,,,,,,,,,,,,
Chonchon,,,,,,,,,,,,,,,,
Caramel,,,,,,,,,,,,,,,,
Horn,,,,,,,,,,,,,,,,
Stainer,,,,,,,,,,,,,,,,
Petit,,,,,,,,,,,,,,,,
Petit_,,,,,,,,,,,,,,,,
Flora,,,,,,,,,,,,,,,,
Mantis,,,,,,,,,,,,,,,,
Argos,,,,,,,,,,,,,,,,
Argiope,,,,,,,,,,,,,,,,
Mistress,,,,,,,,,,,,,,,,
Ambernite,,,,,,,,,,,,,,,,
Stem_Worm,,,,,,,,,,,,,,,,
Dustiness,,,,,,,,,,,,,,,,
Coco,,,,,,,,,,,,,,,,
Red_Plant,,,,,,,,,,,,,,,,
Roda_Frog,,,,,,,,,,,,,,,,
Thara_Frog,,,,,,,,,,,,,,,,
Toad,,,,,,,,,,,,,,,,
Wild_Rose,,,,,,,,,,,,,,,,
Kobold_Archer,,,,,,,,,,,,,,,,
Kobold_1,,,,,,,,,,,,,,,,
Kobold_2,,,,,,,,,,,,,,,,
Kobold_3,,,,,,,,,,,,,,,,
Kobold_Leader,,,,,,,,,,,,,,,,
Ork_Warrior,,,,,,,,,,,,,,,,
Orc_Lord,,,,,,,,,,,,,,,,
Orc_Lady,,,,,,,,,,,,,,,,
Orc_Baby,,,,,,,,,,,,,,,,
Ork_Hero,,,,,,,,,,,,,,,,
Orc_Archer,,,,,,,,,,,,,,,,
High_Orc,,,,,,,,,,,,,,,,
Orc_Skeleton,,,,,,,,,,,,,,,,
Orc_Zombie,,,,,,,,,,,,,,,,
Zenorc,,,,,,,,,,,,,,,,
Drainliar,,,,,,,,,,,,,,,,
Mummy,,,,,,,,,,,,,,,,
Isis,,,,,,,,,,,,,,,,
Soldier_Skeleton,,,,,,,,,,,,,,,,
Archer_Skeleton,,,,,,,,,,,,,,,,
Mimic,,,,,,,,,,,,,,,,
Matyr,,,,,,,,,,,,,,,,
Verit,,,,,,,,,,,,,,,,
Ancient_Mummy,,,,,,,,,,,,,,,,
Osiris,,,,,,,,,,,,,,,,
Minorous,,,,,,,,,,,,,,,,
Arclouse,,,,,,,,,,,,,,,,
Amon_Ra,,,,,,,,,,,,,,,,
Zombie,,,,,,,,,,,,,,,,
Skeleton,,,,,,,,,,,,,,,,
Ice_Titan,,,,,,,,,,,,,,,,
Bon_Gun,,,,,,,,,,,,,,,,
Hydra,,,,,,,,,,,,,,,,
Munak,,,,,,,,,,,,,,,,
Whisper,,,,,,,,,,,,,,,,
Whisper_,,,,,,,,,,,,,,,,
Whisper_Boss,,,,,,,,,,,,,,,,
Dokebi,,,,,,,,,,,,,,,,
Am_Mut,,,,,,,,,,,,,,,,
Cat_O_Nine_Tail,,,,,,,,,,,,,,,,
Moonlight,,,,,,,,,,,,,,,,
Skeleton_General,,,,,,,,,,,,,,,,
White_Plant,,,,,,,,,,,,,,,,
Punk,,,,,,,,,,,,,,,,
Rideword,,,,,,,,,,,,,,,,
Bathory,,,,,,,,,,,,,,,,
C_Tower_Manager,,,,,,,,,,,,,,,,
Elder,,,,,,,,,,,,,,,,
Alarm,,,,,,,,,,,,,,,,
Owl_Duke,,,,,,,,,,,,,,,,
Owl_Baron,,,,,,,,,,,,,,,,
Executioner,,,,,,,,,,,,,,,,
Clock,,,,,,,,,,,,,,,,
Cramp,,,,,,,,,,,,,,,,
Joker,,,,,,,,,,,,,,,,
Penomena,,,,,,,,,,,,,,,,
Mysteltainn,,,,,,,,,,,,,,,,
Tirfing,,,,,,,,,,,,,,,,
Brilight,,,,,,,,,,,,,,,,
Martin,,,,,,,,,,,,,,,,
Sasquatch,,,,,,,,,,,,,,,,
Leib_Olmai,,,,,,,,,,,,,,,,
Killer_Mantis,,,,,,,,,,,,,,,,
Baphomet,,,,,,,,,,,,,,,,
Baphomet_,,,,,,,,,,,,,,,,
Nightmare,,,,,,,,,,,,,,,,
Ghoul,,,,,,,,,,,,,,,,
Jakk,,,,,,,,,,,,,,,,
Dracula,,,,,,,,,,,,,,,,
Marionette,,,,,,,,,,,,,,,,
Deviruchi,,,,,,,,,,,,,,,,
Doppelganger,,,,,,,,,,,,,,,,
Anubis,,,,,,,,,,,,,,,,
Requiem,,,,,,,,,,,,,,,,
Zerom,,,,,,,,,,,,,,,,
Pasana,,,,,,,,,,,,,,,,
Marduk,,,,,,,,,,,,,,,,
Pharaoh,,,,,,,,,,,,,,,,
Plankton,,,,,,,,,,,,,,,,
Marina,,,,,,,,,,,,,,,,
Kukre,,,,,,,,,,,,,,,,
Vadon,,,,,,,,,,,,,,,,
Cornutus,,,,,,,,,,,,,,,,
Marse,,,,,,,,,,,,,,,,
Obeaune,,,,,,,,,,,,,,,,
Merman,,,,,,,,,,,,,,,,
Phen,,,,,,,,,,,,,,,,
Marine_Sphere,,,,,,,,,,,,,,,,
Marc,,,,,,,,,,,,,,,,
Sword_Fish,,,,,,,,,,,,,,,,
Strouf,,,,,,,,,,,,,,,,
Deviace,,,,,,,,,,,,,,,,
Sageworm,,,,,,,,,,,,,,,,
Carat,,,,,,,,,,,,,,,,
Dark_Frame,,,,,,,,,,,,,,,,
Alice,,,,,,,,,,,,,,,,
Raydric,,,,,,,,,,,,,,,,
Raydric_Archer,,,,,,,,,,,,,,,,
Chimera,,,,,,,,,,,,,,,,
Evil_Druid,,,,,,,,,,,,,,,,
Knight_Of_Abyss,,,,,,,,,,,,,,,,
Khalitzburg,,,,,,,,,,,,,,,,
Wraith,,,,,,,,,,,,,,,,
Dark_Illusion,,,,,,,,,,,,,,,,
Dark_Lord,,,,,,,,,,,,,,,,
Skel_Prisoner,,,,,,,,,,,,,,,,
Zombie_Prisoner,,,,,,,,,,,,,,,,
Sting,,,,,,,,,,,,,,,,
Majoruros,,,,,,,,,,,,,,,,
Gargoyle,,,,,,,,,,,,,,,,
Bloody_Knight,,,,,,,,,,,,,,,,
Injustice,,,,,,,,,,,,,,,,
Rybio,,,,,,,,,,,,,,,,
Zherlthsh,,,,,,,,,,,,,,,,
Phendark,,,,,,,,,,,,,,,,
Anolian,,,,,,,,,,,,,,,,
Wind_Ghost,,,,,,,,,,,,,,,,
Skel_Worker,,,,,,,,,,,,,,,,
Myst,,,,,,,,,,,,,,,,
Pirate_Skel,,,,,,,,,,,,,,,,
Drake,,,,,,,,,,,,,,,,
Spring_Rabbit,,,,,,,,,,,,,,,,
Pest,,,,,,,,,,,,,,,,
Permeter,,,,,,,,,,,,,,,,
Solider,,,,,,,,,,,,,,,,
Freezer,,,,,,,,,,,,,,,,
Heater,,,,,,,,,,,,,,,,
Assulter,,,,,,,,,,,,,,,,
Turtle_General,,,,,,,,,,,,,,,,
Grand_Peco,,,,,,,,,,,,,,,,
Kind_Of_Beetle,,,,,,,,,,,,,,,,
Deleter,,,,,,,,,,,,,,,,
Deleter_,,,,,,,,,,,,,,,,
Geographer,,,,,,,,,,,,,,,,
Rafflesia,,,,,,,,,,,,,,,,
Archangeling,,,,,,,,,,,,,,,,
Sleeper,,,,,,,,,,,,,,,,
Goat,,,,,,,,,,,,,,,,
Demon_Pungus,,,,,,,,,,,,,,,,
Driller,,,,,,,,,,,,,,,,
Harpy,,,,,,,,,,,,,,,,
Venatu_1,,,,,,,,,,,,,,,,
Venatu_2,,,,,,,,,,,,,,,,
Venatu_3,,,,,,,,,,,,,,,,
Venatu_4,,,,,,,,,,,,,,,,
Cookie,,,,,,,,,,,,,,,,
Cookie_Xmas,,,,,,,,,,,,,,,,
Cruiser,,,,,,,,,,,,,,,,
Chepet,,,,,,,,,,,,,,,,
Gobline_Xmas,,,,,,,,,,,,,,,,
Garm,,,,,,,,,,,,,,,,
Garm_Baby,,,,,,,,,,,,,,,,
Knight_Of_Windstorm,,,,,,,,,,,,,,,,
Mystcase,,,,,,,,,,,,,,,,
Wraith_Dead,,,,,,,,,,,,,,,,
Shellfish,,,,,,,,,,,,,,,,
Alligator,,,,,,,,,,,,,,,,
Aster,,,,,,,,,,,,,,,,
Crab,,,,,,,,,,,,,,,,
Raggler,,,,,,,,,,,,,,,,
Mobster,,,,,,,,,,,,,,,,
Fur_Seal,,,,,,,,,,,,,,,,
Galapago,,,,,,,,,,,,,,,,
Mutant_Dragon,,,,,,,,,,,,,,,,
See_Otter,,,,,,,,,,,,,,,,
Gryphon,,,,,,,,,,,,,,,,
Medusa,,,,,,,,,,,,,,,,
Neraid,,,,,,,,,,,,,,,,
Tri_Joint,,,,,,,,,,,,,,,,
Stalactic_Golem,,,,,,,,,,,,,,,,
Megalodon,,,,,,,,,,,,,,,,
Megalith,,,,,,,,,,,,,,,,
Tao_Gunka,,,,,,,,,,,,,,,,
Target_Dummy,,,,,,,,,,,,,,,,
Test_Drone,,,,,,,,,,,,,,,,
Randgris,,,,,,,,,,,,,,,,
Valkyrie,,,,,,,,,,,,,,,,
Iron_Fist,,,,,,,,,,,,,,,,
Shinobi,,,,,,,,,,,,,,,,
Kapha,,,,,,,,,,,,,,,,
Karakasa,,,,,,,,,,,,,,,,
Tengu,,,,,,,,,,,,,,,,
Antique_Firelock,,,,,,,,,,,,,,,,
Incantation_Samurai,,,,,,,,,,,,,,,,
Miyabi_Ningyo,,,,,,,,,,,,,,,,
The_Paper,,,,,,,,,,,,,,,,
Poison_Toad,,,,,,,,,,,,,,,,
Moonlight_Clone,,,,,,,,,,,,,,,,
Gtb_Egg,,,,,,,,,,,,,,,,
Gtb_Summon,,,,,,,,,,,,,,,,
Were_Wolf,,,,,,,,,,,,,,,,
Raptice,,,,,,,,,,,,,,,,
