Level,Novice,Swordsman,Mage,Archer,Acolyte,Merchant,Thief,Knight,Priest,Wizard,Blacksmith,Hunter,Assassin,Crusader,Rogue,Sage,Alchemist,Monk,Bard,Dancer,Taekwon,Star,Linker,Gunslinger,Ninja
19,130,263,188,229,206,206,229,418,274,234,301,291,339,377,291,274,301,329,260,260,263,329,274,301,301
20,135,282,199,244,219,219,244,453,294,250,324,313,366,406,313,294,324,354,278,278,282,354,294,316,316
21,140,302,210,260,232,232,260,490,315,267,348,336,394,436,336,315,348,379,296,296,302,379,315,331,331
22,145,322,222,276,246,246,276,528,337,284,373,360,423,467,360,337,373,406,316,316,322,406,337,346,346
23,150,343,234,293,260,260,293,568,359,302,399,385,453,499,385,359,399,433,330,330,343,433,359,364,364
24,155,365,246,310,275,275,310,609,382,320,426,410,484,532,410,382,426,462,350,350,365,462,382,382,382
25,160,388,259,328,290,290,328,652,406,339,454,436,517,567,436,406,454,491,371,371,388,491,406,400,400
26,165,411,272,346,305,305,346,696,431,358,482,463,551,603,463,431,482,521,393,393,411,521,431,420,420
27,170,435,285,365,321,321,365,742,456,378,511,491,586,640,491,456,511,551,415,415,435,551,456,440,440
28,175,460,298,384,337,337,384,789,482,398,541,520,622,678,520,482,541,583,438,438,460,583,482,460,460
29,180,485,312,404,354,354,404,838,509,419,572,550,659,717,550,509,572,615,451,451,485,615,509,490,482
30,185,511,326,424,371,371,424,888,537,441,604,581,697,757,581,537,604,649,477,477,511,649,537,520,504
31,190,538,340,445,388,388,445,940,565,463,637,612,736,798,612,565,637,683,503,503,538,683,565,550,526
32,195,565,355,466,406,406,466,993,594,486,671,644,776,840,644,594,671,719,530,530,565,719,594,580,548
33,200,593,370,488,424,424,488,1048,624,509,706,677,817,883,677,624,706,755,558,558,593,755,624,610,572
34,205,622,385,510,443,443,510,1104,655,533,742,711,859,927,711,655,742,793,587,587,622,793,655,650,596
35,210,652,401,533,462,462,533,1162,686,557,779,746,903,973,746,686,779,831,616,616,652,831,686,680,620
36,215,682,417,556,481,481,556,1221,718,582,816,782,948,1020,782,718,816,870,646,646,682,870,718,710,646
37,220,713,433,580,501,501,580,1282,751,607,854,818,994,1068,818,751,854,909,677,677,713,909,751,740,672
38,225,745,449,604,521,521,604,1344,785,633,893,855,1041,1117,855,785,893,950,709,709,745,950,785,770,698
39,230,777,466,629,542,542,629,1408,819,659,933,893,1089,1167,893,819,933,991,741,741,777,991,819,800,726
40,235,810,483,654,563,563,654,1473,854,686,974,932,1138,1218,932,854,974,1034,774,774,810,1034,854,830,754
41,240,844,500,680,584,584,680,1540,890,714,1016,972,1188,1270,972,890,1016,1077,808,808,844,1077,890,865,784
42,245,878,518,706,606,606,706,1608,927,742,1059,1013,1239,1323,1013,927,1059,1122,843,843,878,1122,927,890,814
43,250,913,536,733,628,628,733,1678,964,771,1103,1055,1291,1377,1055,964,1103,1167,878,878,913,1167,964,925,844
44,255,949,554,760,651,651,760,1749,1002,800,1148,1097,1344,1432,1097,1002,1148,1214,914,914,949,1214,1002,955,876
45,260,986,573,788,674,674,788,1822,1041,830,1194,1140,1399,1489,1140,1041,1194,1261,951,951,986,1261,1041,990,908
46,265,1023,592,816,697,697,816,1896,1081,860,1240,1184,1455,1547,1184,1081,1240,1309,989,989,1023,1309,1081,1025,940
47,270,1061,611,845,721,721,845,1972,1121,891,1287,1229,1512,1606,1229,1121,1287,1357,1027,1027,1061,1357,1121,1050,975
48,275,1100,630,874,745,745,874,2049,1162,922,1335,1275,1570,1666,1275,1162,1335,1407,1066,1066,1100,1407,1162,1080,1010
49,280,1139,650,904,770,770,904,2128,1204,954,1384,1322,1629,1727,1322,1204,1384,1457,1106,1106,1139,1457,1204,1110,1100
50,285,1179,670,934,795,795,934,2208,1247,987,1434,1370,1689,1789,1370,1247,1434,1509,1147,1147,1179,1509,1247,1145,1140
51,290,1220,690,965,820,820,965,2290,1290,1020,1485,1418,1750,1852,1418,1290,1485,1561,1188,1188,1220,1561,1290,1180,1180
52,295,1261,711,996,846,846,996,2373,1334,1054,1537,1467,1812,1916,1467,1334,1537,1615,1230,1230,1261,1615,1334,1215,1220
53,300,1303,732,1028,872,872,1028,2458,1379,1088,1590,1517,1875,1981,1517,1379,1590,1669,1273,1273,1303,1669,1379,1275,1260
54,305,1346,753,1060,899,899,1060,2544,1425,1123,1644,1568,1939,2047,1568,1425,1644,1725,1317,1317,1346,1725,1425,1335,1300
55,310,1390,775,1093,926,926,1093,2632,1471,1158,1699,1620,2005,2115,1620,1471,1699,1781,1361,1361,1390,1781,1471,1395,1340
56,315,1434,797,1126,953,953,1126,2721,1518,1194,1754,1673,2072,2184,1673,1518,1754,1838,1406,1406,1434,1838,1518,1455,1385
57,320,1479,819,1160,981,981,1160,2812,1566,1230,1810,1726,2140,2254,1726,1566,1810,1895,1452,1452,1479,1895,1566,1515,1430
58,325,1525,841,1194,1009,1009,1194,2904,1615,1267,1867,1780,2209,2325,1780,1615,1867,1954,1499,1499,1525,1954,1615,1575,1475
59,330,1571,864,1229,1038,1038,1229,2998,1664,1304,1925,1835,2279,2397,1835,1664,1925,2013,1546,1546,1571,2013,1664,1635,1520
60,335,1618,887,1264,1067,1067,1264,3093,1714,1342,1984,1891,2350,2470,1891,1714,1984,2074,1594,1594,1618,2074,1714,1695,1565
61,340,1666,910,1300,1096,1096,1300,3190,1765,1381,2044,1948,2422,2544,1948,1765,2044,2135,1643,1643,1666,2135,1765,1760,1615
62,345,1714,934,1336,1126,1126,1336,3288,1817,1420,2105,2006,2495,2619,2006,1817,2105,2198,1693,1693,1714,2198,1817,1820,1665
63,350,1763,958,1373,1156,1156,1373,3388,1869,1460,2167,2065,2569,2695,2065,1869,2167,2261,1743,1743,1763,2261,1869,1885,1715
64,355,1813,982,1410,1187,1187,1410,3489,1922,1500,2230,2124,2644,2772,2124,1922,2230,2326,1794,1794,1813,2326,1922,1950,1765
65,360,1864,1007,1448,1218,1218,1448,3592,1976,1541,2294,2184,2721,2851,2184,1976,2294,2391,1846,1846,1864,2391,1976,2015,1815
66,365,1915,1032,1486,1249,1249,1486,3696,2031,1582,2358,2245,2799,2931,2245,2031,2358,2457,1899,1899,1915,2457,2031,2080,1880
67,370,1967,1057,1525,1281,1281,1525,3802,2086,1624,2423,2307,2878,3012,2307,2086,2423,2523,1952,1952,1967,2523,2086,2145,1935
68,375,2020,1082,1564,1313,1313,1564,3909,2142,1666,2489,2370,2958,3094,2370,2142,2489,2591,2006,2006,2020,2591,2142,2210,1990
69,380,2073,1108,1604,1346,1346,1604,4018,2199,1709,2556,2434,3039,3177,2434,2199,2556,2659,2061,2061,2073,2659,2199,2275,2045
70,385,2127,1134,1644,1379,1379,1644,4128,2257,1753,2624,2499,3121,3261,2499,2257,2624,2729,2117,2117,2127,2670,2257,2340,2100
71,390,2182,1160,1685,1412,1412,1685,4240,2315,1797,2693,2564,3204,3346,2564,2315,2693,2799,2173,2173,2137,2680,2275,2410,2160
72,395,2237,1187,1726,1446,1446,1726,4353,2374,1842,2763,2630,3288,3432,2630,2374,2763,2871,2230,2230,2147,2690,2294,2480,2220
73,400,2293,1214,1768,1480,1480,1768,4468,2434,1887,2834,2697,3373,3519,2697,2434,2834,2943,2288,2288,2157,2700,2314,2550,2280
74,405,2350,1241,1810,1515,1515,1810,4584,2495,1933,2906,2765,3459,3607,2765,2495,2906,3017,2347,2347,2167,2710,2335,2620,2340
75,410,2408,1269,1853,1550,1550,1853,4702,2556,1979,2979,2834,3547,3697,2834,2556,2979,3091,2406,2406,2177,2720,2356,2690,2400
76,415,2466,1297,1896,1585,1585,1896,4821,2618,2026,3052,2904,3636,3788,2904,2618,3052,3166,2466,2466,2187,2730,2378,2760,2460
77,420,2525,1325,1940,1621,1621,1940,4942,2681,2073,3126,2974,3726,3880,2974,2681,3126,3241,2527,2527,2197,2740,2401,2830,2520
78,425,2585,1353,1984,1657,1657,1984,5064,2745,2121,3201,3045,3817,3973,3045,2745,3201,3318,2589,2589,2217,2750,2425,2900,2580
79,430,2645,1382,2029,1694,1694,2029,5188,2809,2169,3277,3117,3909,4067,3117,2809,3277,3395,2651,2651,2127,2760,2449,2970,2640
80,435,2706,1411,2074,1731,1731,2074,5313,2874,2218,3354,3190,4002,4162,3190,2874,3354,3474,2714,2714,2200,3000,2874,3040,2705
81,440,2768,1440,2120,1768,1768,2120,5440,2940,2268,3432,3264,4096,4258,3264,2940,3432,3553,2778,2778,2250,3020,2890,3115,2770
82,445,2830,1470,2166,1806,1806,2166,5568,3007,2318,3511,3339,4191,4355,3339,3007,3511,3634,2843,2843,2300,3040,2907,3190,2835
83,450,2893,1500,2213,1844,1844,2213,5698,3074,2369,3591,3415,4287,4453,3415,3074,3591,3715,2908,2908,2350,3060,2924,3265,2900
84,455,2957,1530,2260,1883,1883,2260,5829,3142,2420,3672,3491,4384,4552,3491,3142,3672,3798,2974,2974,2400,3080,2942,3340,2965
85,460,3022,1561,2308,1922,1922,2308,5962,3211,2472,3754,3568,4483,4653,3568,3211,3754,3881,3041,3041,2450,3100,2971,3415,3030
86,465,3087,1592,2356,1961,1961,2356,6096,3281,2524,3836,3646,4583,4755,3646,3281,3836,3965,3109,3109,2500,3120,2991,3490,3100
87,470,3153,1623,2405,2001,2001,2405,6232,3351,2577,3919,3725,4684,4858,3725,3351,3919,4049,3177,3177,2550,3140,3011,3565,3170
88,475,3220,1654,2454,2041,2041,2454,6369,3422,2630,4003,3805,4786,4962,3805,3422,4003,4135,3246,3246,2600,3160,3032,3640,3240
89,480,3287,1686,2504,2082,2082,2504,6508,3494,2684,4088,3886,4889,5067,3886,3494,4088,4221,3316,3316,2650,3180,3054,3715,3310
90,485,3355,1718,2554,2123,2123,2554,6648,3567,2739,4174,3968,4993,5173,3968,3567,4174,4309,3387,3387,2700,3455,3567,3790,3380
91,490,3424,1750,2605,2164,2164,2605,6790,3640,2794,4261,4050,5098,5280,4050,3640,4261,4397,3458,3458,2750,3524,3590,3870,3455
92,495,3493,1783,2656,2206,2206,2656,6933,3714,2850,4349,4133,5204,5388,4133,3714,4349,4487,3530,3530,2800,3593,3614,3950,3530
93,500,3563,1816,2708,2248,2248,2708,7078,3789,2906,4438,4217,5311,5497,4217,3789,4438,4577,3603,3603,2850,3663,3649,4030,3605
94,505,3634,1849,2760,2291,2291,2760,7224,3865,2963,4528,4302,5419,5607,4302,3865,4528,4669,3677,3677,2900,3834,3675,4110,3680
95,510,3706,1883,2813,2334,2334,2813,7372,3941,3020,4619,4388,5529,5719,4388,3941,4619,4761,3751,3751,2950,3806,3701,4190,3760
96,515,3778,1917,2866,2377,2377,2866,7521,4018,3078,4710,4475,5640,5832,4475,4018,4710,4854,3826,3826,3000,3878,3728,4270,3840
97,520,3851,1951,2920,2421,2421,2920,7672,4096,3136,4802,4562,5752,5946,4562,4096,4802,4947,3902,3902,3050,3951,3756,4350,3920
98,525,3925,1985,2974,2465,2465,2974,7824,4175,3195,4895,4650,5865,6061,4650,4175,4895,5042,3979,3979,3100,4025,3800,4430,4000
99,530,3999,2020,3029,2510,2510,3029,7978,4254,3254,4989,4739,5979,6177,4739,4254,4989,5137,4056,4056,3200,4500,4250,4510,4080
