Map,X,Y,Width,Height,Count,Class,SpawnTime,Variance,Recycle
prt_fild02,0,0,0,0,2,SHINING_PLANT,1800000,900000,1
prt_fild03,0,0,0,0,70,YOYO,0,0,0
prt_fild03,0,0,0,0,50,SMOKIE,0,0,0
prt_fild03,0,0,0,0,3,CHOCO,1800000,900000,0
prt_fild03,0,0,0,0,10,FABRE,0,0,0
prt_fild03,0,0,0,0,30,PORING,0,0,0
prt_fild03,296,58,15,15,5,GREEN_PLANT,180000,90000,1
prt_fild03,296,58,15,15,2,BLUE_PLANT,900000,450000,1
prt_fild03,307,75,5,5,5,GREEN_PLANT,360000,180000,1
prt_fild03,0,0,0,0,5,GREEN_PLANT,360000,180000,1
prt_fild03,148,107,5,5,5,GREEN_PLANT,360000,180000,1
prt_fild04,0,0,0,0,70,ROCKER,0,0,0
prt_fild04,0,0,0,0,40,CREAMY,0,0,0
prt_fild04,0,0,0,0,10,PUPA,0,0,0
prt_fild04,0,0,0,0,30,PORING,0,0,0
prt_fild04,0,0,0,0,1,VOCAL,1800000,1200000,0
prt_fild04,350,114,10,10,5,GREEN_PLANT,900000,450000,1
prt_fild05,0,0,0,0,70,PORING,0,0,0
prt_fild05,0,0,0,0,20,THIEF_BUG_EGG,0,0,0
prt_fild05,0,0,0,0,30,LUNATIC,0,0,0
prt_fild05,0,0,0,0,30,PUPA,0,0,0
prt_fild05,0,0,0,0,10,THIEF_BUG,0,0,0
prt_fild05,208,37,10,10,6,GREEN_PLANT,900000,450000,1
prt_fild05,208,37,10,10,1,BLUE_PLANT,900000,450000,1
prt_fild06,0,0,0,0,60,LUNATIC,0,0,0
prt_fild06,0,0,0,0,20,THIEF_BUG_EGG,0,0,0
prt_fild06,0,0,0,0,10,THIEF_BUG,0,0,0
prt_fild06,0,0,0,0,20,PUPA,0,0,0
prt_fild06,0,0,0,0,60,PORING,0,0,0
prt_fild06,0,0,0,0,15,GREEN_PLANT,900000,450000,1
prt_fild07,0,0,0,0,120,ROCKER,0,0,0
prt_fild07,0,0,0,0,30,POPORING,0,0,0
prt_fild07,225,110,5,5,3,BLACK_MUSHROOM,360000,180000,1
prt_fild08,0,0,0,0,40,LUNATIC,0,0,0
prt_fild08,0,0,0,0,20,PUPA,0,0,0
prt_fild08,0,0,0,0,100,PORING,0,0,0
prt_fild08,84,175,15,15,3,PORING,0,0,0
prt_fild08,0,0,0,0,10,DROPS,0,0,0
prt_fild08,350,114,10,10,5,GREEN_PLANT,900000,450000,1
prt_fild09,0,0,0,0,70,SAVAGE_BABE,0,0,0
prt_fild09,0,0,0,0,20,DESERT_WOLF_B,0,0,0
prt_fild09,0,0,0,0,20,PECOPECO_EGG,0,0,0
prt_fild09,0,0,0,0,20,PICKY,0,0,0
prt_fild09,0,0,0,0,10,CONDOR,0,0,0
prt_fild09,237,115,5,5,3,YELLOW_PLANT,360000,180000,1
prt_fild10,0,0,0,0,70,SAVAGE,0,0,0
prt_fild10,0,0,0,0,40,SAVAGE_BABE,0,0,0
prt_fild10,0,0,0,0,20,POPORING,0,0,0
prt_fild10,0,0,0,0,10,THIEF_BUG,0,0,0
prt_fild10,99,114,20,5,15,RED_MUSHROOM,360000,180000,1
prt_fild10,155,179,10,10,1,SHINING_PLANT,1800000,900000,1
prt_fild11,0,0,0,0,20,GOBLIN_1,0,0,0
prt_fild11,0,0,0,0,30,GOBLIN_2,0,0,0
prt_fild11,0,0,0,0,30,GOBLIN_3,0,0,0
prt_fild11,0,0,0,0,30,GOBLIN_4,0,0,0
prt_fild11,0,0,0,0,30,GOBLIN_5,0,0,0
prt_fild11,0,0,0,0,20,GOBLIN_ARCHER,0,0,0
prt_fild11,0,0,0,0,1,PANZER_GOBLIN,1800000,1200000,0
prt_fild11,0,0,0,0,30,STEAM_GOBLIN,0,0,0
prt_fild11,0,0,0,0,10,RED_MUSHROOM,180000,90000,1
pay_fild01,0,0,0,0,50,WILOW,0,0,0
pay_fild01,0,0,0,0,10,POPORING,0,0,0
pay_fild01,0,0,0,0,60,PORING,0,0,0
pay_fild01,0,0,0,0,20,SPORE,0,0,0
pay_fild01,340,89,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,336,116,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,231,258,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,215,323,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,340,89,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,225,310,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,129,288,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,75,269,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,80,226,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,89,177,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,95,85,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,57,85,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,64,113,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,64,190,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,70,246,0,0,1,BLACK_MUSHROOM,180000,90000,1
pay_fild01,0,0,0,0,5,GREEN_PLANT,180000,90000,1
pay_fild02,0,0,0,0,50,SNAKE,0,0,0
pay_fild02,0,0,0,0,70,WOLF,0,0,0
pay_fild02,0,0,0,0,20,SPORE,0,0,0
pay_fild02,0,0,0,0,30,POPORING,0,0,0
pay_fild02,105,256,10,10,4,GREEN_PLANT,360000,180000,1
pay_fild02,105,256,10,10,4,RED_MUSHROOM,360000,180000,1
pay_fild03,0,0,0,0,30,PORING,0,0,0
pay_fild03,0,0,0,0,30,WILOW,0,0,0
pay_fild03,0,0,0,0,50,PUPA,0,0,0
pay_fild03,0,0,0,0,50,LUNATIC,0,0,0
pay_fild03,153,216,10,10,6,RED_MUSHROOM,900000,450000,1
pay_fild03,372,64,15,15,4,GREEN_PLANT,180000,90000,1
pay_fild04,0,0,0,0,50,PORING,0,0,0
pay_fild04,0,0,0,0,50,DROPS,0,0,0
pay_fild04,0,0,0,0,50,POPORING,0,0,0
pay_fild04,0,0,0,0,10,MARIN,0,0,0
pay_fild04,0,0,0,0,1,GHOSTRING,3600000,1800000,1
pay_fild04,0,0,0,0,1,MASTERING,3600000,1800000,1
pay_fild04,0,0,0,0,1,ANGELING,3600000,1800000,1
pay_fild04,0,0,0,0,1,DEVILING,7200000,3600000,1
pay_fild04,346,335,5,5,1,SHINING_PLANT,1800000,900000,1
pay_fild04,254,193,10,10,5,GREEN_PLANT,360000,180000,1
pay_fild05,0,0,0,0,5,DRAGON_TAIL,0,0,0
pay_fild05,0,0,0,0,50,POPORING,0,0,0
pay_fild05,0,0,0,0,70,POISON_SPORE,0,0,0
pay_fild05,95,147,5,5,4,GREEN_PLANT,900000,450000,1
pay_fild05,86,90,5,5,4,GREEN_PLANT,900000,450000,1
pay_fild06,0,0,0,0,100,WORM_TAIL,0,0,0
pay_fild06,0,0,0,0,40,SPORE,0,0,0
pay_fild06,0,0,0,0,20,POPORING,0,0,0
pay_fild06,0,0,0,0,40,THIEF_BUG_,0,0,0
pay_fild06,211,191,2,10,8,RED_MUSHROOM,180000,90000,1
pay_fild06,268,155,20,20,10,GREEN_PLANT,360000,180000,1
pay_fild06,268,155,20,20,1,SHINING_PLANT,1800000,900000,1
pay_fild07,0,0,0,0,70,ELDER_WILOW,0,0,0
pay_fild07,0,0,0,0,40,EGGYRA,0,0,0
pay_fild07,0,0,0,0,20,POPORING,0,0,0
pay_fild07,0,0,0,0,20,WILOW,0,0,0
pay_fild07,0,0,0,0,30,BIGFOOT,0,0,0
pay_fild07,171,331,20,20,8,GREEN_PLANT,900000,450000,1
pay_fild08,0,0,0,0,30,PORING,0,0,0
pay_fild08,0,0,0,0,70,WILOW,0,0,0
pay_fild08,0,0,0,0,20,PUPA,0,0,0
pay_fild08,0,0,0,0,50,SPORE,0,0,0
pay_fild08,0,0,0,0,10,GREEN_PLANT,60000,30000,1
pay_fild08,143,156,40,40,1,SHINING_PLANT,3600000,1800000,1
pay_fild09,0,0,0,0,20,SPORE,0,0,0
pay_fild09,0,0,0,0,20,WORM_TAIL,0,0,0
pay_fild09,0,0,0,0,20,POPORING,0,0,0
pay_fild09,0,0,0,0,30,SNAKE,0,0,0
pay_fild09,0,0,0,0,3,SOHEE,0,0,0
pay_fild09,0,0,0,0,50,SMOKIE,0,0,0
pay_fild09,0,0,0,0,65,BIGFOOT,0,0,0
pay_fild09,0,0,0,0,5,SOHEE,0,0,0
pay_fild09,0,0,0,0,1,WANDER_MAN,3600000,1800000,0
pay_fild09,198,217,30,30,10,GREEN_PLANT,360000,180000,0
pay_fild09,198,217,30,30,1,SHINING_PLANT,1800000,900000,1
pay_fild10,0,0,0,0,65,GREATEST_GENERAL,0,0,0
pay_fild10,0,0,0,0,40,HORONG,0,0,0
pay_fild10,0,0,0,0,20,POISON_SPORE,0,0,0
pay_fild10,0,0,0,0,30,POPORING,0,0,0
pay_fild10,0,0,0,0,3,NINE_TAIL,0,0,0
pay_fild10,0,0,0,0,1,NINE_TAIL,1800000,900000,1
pay_fild10,0,0,0,0,1,NINE_TAIL,900000,450000,1
pay_fild10,213,157,10,10,5,GREEN_PLANT,360000,180000,1
pay_fild10,281,307,10,10,5,GREEN_PLANT,360000,180000,1
pay_fild10,66,332,10,10,5,GREEN_PLANT,360000,180000,1
pay_fild10,213,157,10,10,1,BLUE_PLANT,360000,180000,1
pay_fild10,281,307,10,10,1,BLUE_PLANT,360000,180000,1
pay_fild10,66,332,10,10,1,BLUE_PLANT,360000,180000,1
pay_fild11,0,0,0,0,40,HORONG,0,0,0
pay_fild11,0,0,0,0,30,GREATEST_GENERAL,0,0,0
pay_fild11,0,0,0,0,10,ELDER_WILOW,0,0,0
pay_fild11,0,0,0,0,20,POPORING,0,0,0
pay_fild11,0,0,0,0,40,NINE_TAIL,0,0,0
pay_fild11,0,0,0,0,15,DRAGON_TAIL,0,0,0
pay_fild11,0,0,0,0,1,EDDGA,7200000,3600000,1
pay_fild11,241,162,5,5,3,RED_MUSHROOM,360000,180000,1
pay_fild11,66,293,5,5,3,RED_MUSHROOM,360000,180000,1
moc_fild01,0,0,0,0,70,DESERT_WOLF_B,0,0,0
moc_fild01,0,0,0,0,20,ANT_EGG,0,0,0
moc_fild01,0,0,0,0,40,PECOPECO_EGG,0,0,0
moc_fild01,0,0,0,0,10,PICKY,0,0,0
moc_fild01,0,0,0,0,30,DROPS,0,0,0
moc_fild01,0,0,0,0,10,PORING,0,0,0
moc_fild01,194,51,10,10,10,YELLOW_PLANT,900000,450000,1
moc_fild02,0,0,0,0,70,PECOPECO,0,0,0
moc_fild02,0,0,0,0,10,ANT_EGG,0,0,0
moc_fild02,0,0,0,0,40,PECOPECO_EGG,0,0,0
moc_fild02,0,0,0,0,10,PICKY,0,0,0
moc_fild02,0,0,0,0,30,DROPS,0,0,0
moc_fild02,89,315,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild02,99,261,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild02,94,195,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild02,139,222,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild02,132,307,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild02,194,294,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild02,275,241,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild02,342,267,0,0,1,GREEN_PLANT,180000,90000,1
moc_fild02,359,215,0,0,1,GREEN_PLANT,180000,90000,1
moc_fild02,313,149,0,0,1,GREEN_PLANT,180000,90000,1
moc_fild02,230,62,0,0,1,GREEN_PLANT,180000,90000,1
moc_fild02,299,61,0,0,1,GREEN_PLANT,180000,90000,1
moc_fild02,353,103,0,0,1,GREEN_PLANT,180000,90000,1
moc_fild02,337,35,0,0,1,GREEN_PLANT,180000,90000,1
moc_fild03,0,0,0,0,70,ELDER_WILOW,0,0,0
moc_fild03,0,0,0,0,40,GREATEST_GENERAL,0,0,0
moc_fild03,0,0,0,0,30,POPORING,0,0,0
moc_fild03,0,0,0,0,20,EGGYRA,0,0,0
moc_fild03,0,0,0,0,30,WILOW,0,0,0
moc_fild03,0,0,0,0,1,VAGABOND_WOLF,1800000,1200000,0
moc_fild03,77,311,5,5,2,GREEN_PLANT,180000,90000,1
moc_fild03,108,199,5,5,2,GREEN_PLANT,180000,90000,1
moc_fild03,96,65,5,5,2,GREEN_PLANT,180000,90000,1
moc_fild03,216,69,5,5,2,GREEN_PLANT,180000,90000,1
moc_fild03,261,161,5,5,2,GREEN_PLANT,180000,90000,1
moc_fild03,213,201,5,5,2,GREEN_PLANT,180000,90000,1
moc_fild03,200,263,5,5,2,GREEN_PLANT,180000,90000,1
moc_fild04,0,0,0,0,10,DESERT_WOLF,0,0,0
moc_fild04,0,0,0,0,30,SCORPION,0,0,0
moc_fild04,0,0,0,0,20,METALLER,0,0,0
moc_fild04,0,0,0,0,40,MAGNOLIA,0,0,0
moc_fild04,0,0,0,0,10,ANT_EGG,0,0,0
moc_fild04,0,0,0,0,20,ANDRE,0,0,0
moc_fild04,0,0,0,0,20,DENIRO,0,0,0
moc_fild04,0,0,0,0,20,PIERE,0,0,0
moc_fild04,313,84,10,10,10,YELLOW_PLANT,900000,450000,1
moc_fild05,0,0,0,0,50,MAGNOLIA,0,0,0
moc_fild05,0,0,0,0,40,METALLER,0,0,0
moc_fild05,0,0,0,0,70,GOLEM,0,0,0
moc_fild05,0,0,0,0,10,ANT_EGG,0,0,0
moc_fild05,0,0,0,0,10,ANDRE,0,0,0
moc_fild05,0,0,0,0,10,DENIRO,0,0,0
moc_fild05,0,0,0,0,10,PIERE,0,0,0
moc_fild05,208,233,10,10,5,YELLOW_PLANT,360000,180000,1
moc_fild06,0,0,0,0,70,PECOPECO,0,0,0
moc_fild06,0,0,0,0,30,MUKA,0,0,0
moc_fild06,0,0,0,0,50,CONDOR,0,0,0
moc_fild06,0,0,0,0,10,MAGNOLIA,0,0,0
moc_fild06,0,0,0,0,5,ANDRE,0,0,0
moc_fild06,0,0,0,0,5,DENIRO,0,0,0
moc_fild06,0,0,0,0,5,PIERE,0,0,0
moc_fild06,0,0,0,0,10,ANT_EGG,0,0,0
moc_fild06,193,203,10,10,10,YELLOW_PLANT,900000,450000,1
moc_fild07,0,0,0,0,70,DROPS,0,0,0
moc_fild07,0,0,0,0,50,PECOPECO_EGG,0,0,0
moc_fild07,0,0,0,0,30,PICKY_,0,0,0
moc_fild07,0,0,0,0,30,PICKY,0,0,0
moc_fild07,162,333,12,12,5,YELLOW_PLANT,360000,180000,1
moc_fild08,0,0,0,0,30,MAGNOLIA,0,0,0
moc_fild08,0,0,0,0,80,SCORPION,0,0,0
moc_fild08,0,0,0,0,40,DESERT_WOLF,0,0,0
moc_fild08,0,0,0,0,30,ANACONDAQ,0,0,0
moc_fild08,0,0,0,0,20,DESERT_WOLF_B,0,0,0
moc_fild08,0,0,0,0,20,DROPS,0,0,0
moc_fild09,0,0,0,0,10,DESERT_WOLF,0,0,0
moc_fild09,0,0,0,0,70,METALLER,0,0,0
moc_fild09,0,0,0,0,50,MAGNOLIA,0,0,0
moc_fild09,0,0,0,0,20,ANT_EGG,0,0,0
moc_fild09,0,0,0,0,5,ANDRE,0,0,0
moc_fild09,0,0,0,0,5,DENIRO,0,0,0
moc_fild09,0,0,0,0,5,PIERE,0,0,0
moc_fild09,0,0,0,0,6,FRILLDORA,0,0,0
moc_fild09,332,341,5,5,2,YELLOW_PLANT,180000,90000,1
moc_fild09,240,313,5,5,2,YELLOW_PLANT,180000,90000,1
moc_fild09,305,62,5,5,2,YELLOW_PLANT,180000,90000,1
moc_fild09,64,78,5,5,2,YELLOW_PLANT,180000,90000,1
moc_fild09,54,325,5,5,2,YELLOW_PLANT,180000,90000,1
moc_fild10,0,0,0,0,30,DROPS,0,0,0
moc_fild10,0,0,0,0,70,PECOPECO_EGG,0,0,0
moc_fild10,0,0,0,0,50,PICKY,0,0,0
moc_fild10,0,0,0,0,50,PICKY_,0,0,0
moc_fild10,0,0,0,0,1,MAGNOLIA,0,0,0
moc_fild10,0,0,0,0,10,ANT_EGG,0,0,0
moc_fild10,198,150,40,30,10,YELLOW_PLANT,180000,90000,1
moc_fild10,198,150,40,30,5,GREEN_PLANT,180000,90000,1
moc_fild11,0,0,0,0,10,HODE,0,0,0
moc_fild11,0,0,0,0,70,GOLEM,0,0,0
moc_fild11,0,0,0,0,10,ANDRE,0,0,0
moc_fild11,0,0,0,0,10,DENIRO,0,0,0
moc_fild11,0,0,0,0,10,PIERE,0,0,0
moc_fild11,0,0,0,0,10,ANT_EGG,0,0,0
moc_fild11,0,0,0,0,20,MAGNOLIA,0,0,0
moc_fild11,0,0,0,0,20,MUKA,0,0,0
moc_fild11,197,216,0,0,1,SHINING_PLANT,1800000,900000,1
moc_fild12,0,0,0,0,50,PICKY_,0,0,0
moc_fild12,0,0,0,0,50,PICKY,0,0,0
moc_fild12,0,0,0,0,35,PECOPECO_EGG,0,0,0
moc_fild12,0,0,0,0,35,DROPS,0,0,0
moc_fild12,181,336,40,20,10,YELLOW_PLANT,180000,90000,1
moc_fild13,0,0,0,0,30,DESERT_WOLF,0,0,0
moc_fild13,0,0,0,0,60,ANACONDAQ,0,0,0
moc_fild13,0,0,0,0,25,SNAKE,0,0,0
moc_fild13,0,0,0,0,40,SIDE_WINDER,0,0,0
moc_fild13,0,0,0,0,20,POPORING,0,0,0
moc_fild13,0,0,0,0,20,DROPS,0,0,0
moc_fild13,280,99,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,264,64,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,305,91,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,264,136,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,282,155,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,265,197,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,284,227,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,304,244,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,266,289,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,307,307,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,281,333,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,304,333,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,295,358,0,0,1,RED_MUSHROOM,180000,90000,1
moc_fild13,84,329,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild13,93,301,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild13,101,297,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild13,89,92,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild13,108,150,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild13,109,168,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild13,101,185,5,5,3,YELLOW_PLANT,180000,90000,1
moc_fild13,106,258,5,5,3,YELLOW_PLANT,180000,90000,1
moc_fild13,161,273,5,5,3,YELLOW_PLANT,180000,90000,1
moc_fild14,0,0,0,0,80,DESERT_WOLF,0,0,0
moc_fild14,0,0,0,0,40,SIDE_WINDER,0,0,0
moc_fild14,0,0,0,0,10,DESERT_WOLF_B,0,0,0
moc_fild14,0,0,0,0,25,MAGNOLIA,0,0,0
moc_fild14,124,93,5,5,1,SHINING_PLANT,1800000,900000,1
moc_fild14,85,271,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild14,165,282,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild14,149,333,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild14,64,342,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild14,160,366,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,0,0,0,0,30,HODE,0,0,0
moc_fild15,0,0,0,0,10,SCORPION,0,0,0
moc_fild15,0,0,0,0,10,DESERT_WOLF,0,0,0
moc_fild15,0,0,0,0,25,MAGNOLIA,0,0,0
moc_fild15,0,0,0,0,40,ANDRE,0,0,0
moc_fild15,0,0,0,0,10,ANT_EGG,0,0,0
moc_fild15,0,0,0,0,1,PHREEONI,7200000,3600000,1
moc_fild15,40,126,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,57,39,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,46,250,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,104,347,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,195,373,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,341,365,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,353,230,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,341,164,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,370,85,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,158,144,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,232,126,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild15,294,74,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild16,0,0,0,0,70,SAND_MAN,0,0,0
moc_fild16,0,0,0,0,30,HODE,0,0,0
moc_fild16,0,0,0,0,25,MAGNOLIA,0,0,0
moc_fild16,0,0,0,0,10,ANDRE,0,0,0
moc_fild16,0,0,0,0,20,DENIRO,0,0,0
moc_fild16,0,0,0,0,10,ANT_EGG,0,0,0
moc_fild17,0,0,0,0,70,HODE,0,0,0
moc_fild17,0,0,0,0,30,STEEL_CHONCHON,0,0,0
moc_fild17,0,0,0,0,10,MAGNOLIA,0,0,0
moc_fild17,0,0,0,0,15,FRILLDORA,0,0,0
moc_fild17,0,0,0,0,10,ANDRE,0,0,0
moc_fild17,0,0,0,0,20,DENIRO,0,0,0
moc_fild17,0,0,0,0,20,PIERE,0,0,0
moc_fild17,0,0,0,0,10,ANT_EGG,0,0,0
moc_fild17,0,0,0,0,5,SCORPION,0,0,0
moc_fild17,0,0,0,0,5,SAND_MAN,0,0,0
moc_fild17,40,258,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild17,144,151,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild17,243,138,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild17,270,106,0,0,1,BLUE_PLANT,180000,90000,1
moc_fild17,335,191,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild17,347,224,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild17,359,258,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild18,0,0,0,0,70,STEEL_CHONCHON,0,0,0
moc_fild18,0,0,0,0,40,CHONCHON,0,0,0
moc_fild18,0,0,0,0,40,MUKA,0,0,0
moc_fild18,0,0,0,0,10,METALLER,0,0,0
moc_fild18,0,0,0,0,25,MAGNOLIA,0,0,0
moc_fild18,0,0,0,0,5,ANDRE,0,0,0
moc_fild18,0,0,0,0,5,DENIRO,0,0,0
moc_fild18,0,0,0,0,5,PIERE,0,0,0
moc_fild18,0,0,0,0,5,ANT_EGG,0,0,0
moc_fild18,0,0,0,0,1,DRAGON_FLY,3600000,1800000,1
moc_fild18,0,0,0,0,1,HUNTER_FLY,7200000,3600000,1
moc_fild18,143,352,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild18,72,333,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild18,119,285,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild18,71,210,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild18,135,119,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild18,230,144,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild18,325,207,0,0,1,YELLOW_PLANT,180000,90000,1
moc_fild18,325,272,0,0,1,YELLOW_PLANT,180000,90000,1
mjolnir_01,0,0,0,0,20,CREAMY,0,0,0
mjolnir_01,0,0,0,0,40,CARAMEL,0,0,0
mjolnir_01,0,0,0,0,70,COCO,0,0,0
mjolnir_01,0,0,0,0,20,HORN,0,0,0
mjolnir_01,0,0,0,0,20,STAINER,0,0,0
mjolnir_01,75,85,25,25,1,SHINING_PLANT,1800000,900000,1
mjolnir_01,78,219,25,25,1,SHINING_PLANT,1800000,900000,1
mjolnir_01,75,85,25,25,5,GREEN_PLANT,180000,90000,1
mjolnir_01,78,219,25,25,5,GREEN_PLANT,180000,90000,1
mjolnir_01,311,271,25,25,5,BLUE_PLANT,360000,180000,1
mjolnir_02,0,0,0,0,30,HORNET,0,0,0
mjolnir_02,0,0,0,0,20,CREAMY,0,0,0
mjolnir_02,0,0,0,0,35,PETIT,0,0,0
mjolnir_02,0,0,0,0,10,POPORING,0,0,0
mjolnir_02,0,0,0,0,30,FLORA,0,0,0
mjolnir_02,86,270,0,0,1,GREEN_PLANT,180000,90000,1
mjolnir_02,80,211,0,0,1,GREEN_PLANT,180000,90000,1
mjolnir_02,86,270,0,0,1,GREEN_PLANT,180000,90000,1
mjolnir_02,86,180,0,0,1,GREEN_PLANT,180000,90000,1
mjolnir_02,107,128,0,0,1,GREEN_PLANT,180000,90000,1
mjolnir_02,79,49,0,0,1,BLUE_PLANT,360000,180000,1
mjolnir_02,133,80,0,0,1,RED_PLANT,180000,90000,1
mjolnir_02,191,71,0,0,1,GREEN_PLANT,180000,90000,1
mjolnir_02,237,55,0,0,1,GREEN_PLANT,180000,90000,1
mjolnir_02,292,49,0,0,1,GREEN_PLANT,180000,90000,1
mjolnir_02,349,45,0,0,1,GREEN_PLANT,180000,90000,1
