Pet_Food	Monster's_Feed
Spirit_of_Trust	Free_Storage_Voucher
Spirit_of_Union	Free_Storage_Voucher
Spirit_of_Combination	Free_Storage_Voucher
Spirit_of_Solidarity	Free_Storage_Voucher
Spirit_of_Friendship	Free_Storage_Voucher
Spirit_of_Peace	Free_Storage_Voucher
Spirit_of_Determination	Free_Storage_Voucher
Spirit_of_Service	Free_Storage_Voucher
Spirit_of_Glory	Free_Storage_Voucher
Spirit_of_Victory	Free_Storage_Voucher
Record_of_Ancient_Language	Morroc_Tracing_Log
Letter_to_Wife	Letter_from_Lugen
Holier_Threads	Holy_Threads
Peco_Voucher	Free_Storage_Voucher
Old_Pick	Hoe
Old_Bronze_Key	Key_of_Clock_Tower
Payon_Tablet	Prontera_Tablet
Morroc_Tablet	Prontera_Tablet
Geffen_Tablet	Prontera_Tablet
Will_of_the_Darkness	Token_of_Apostle
Old_Pendant	Pendant_of_Spirit
File_Folder	Neat_Report
Sealed_File_Folder	Neat_Report
Shinokas_Case_File	Neat_Report
Archive_Permit	Membership_Card
Letter_of_Recommendation	Meeting_Invitation
Written_Request_A	Receipt_
Written_Request_B	Receipt_
Skull_	Skull
Blank_Scroll	Worn_Out_Scroll
Elemental_Potion_Creation_Guide	Marine_Sphere_Creation_Guide
Sweet_Sauce	Tasty_Pink_Ration
Savory_Sauce	Tasty_White_Ration
Culinary_Wine	Tristan_III
Cottage_Key	Key_of_Clock_Tower
Letter_to_Elly	Letter_from_Lugen
Yellow_Keycard	Yellow_Key
Blue_Keycard	Blue_Key
Red_Keycard	Red_Key
Metal_Fragment_	Fragment
K.H.'s_Letter	Letter_from_Sister
James's_Note	Worn_Out_Page
Toy_Key	Key_of_Underground
Black_Keycard	Black_Key
Allysia's_Ring	Engagement_Ring
Monster_Ticket	Free_Storage_Voucher
Green_Keycard	Green_Key
Red_Jewel	Sardonyx
Blue_Jewel	Sapphire
Hairstyle_Voucher	Clothing_Voucher
Broken_Thermometer	Burnt_Part
Note_of_Geologist	Worn_Out_Page
Debt_Note	Morroc_Tracing_Log
Diamond_of_Ruin	1_Carat_Diamond
Forbidden_Secret_Art	Witch's_Spell_Scroll
Unlucky_Emerald	Emerald
Mission_Ticket_2	Mission_Ticket_1
Mission_Ticket_3	Mission_Ticket_1
Mission_Ticket_4	Mission_Ticket_1
Mission_Ticket_5	Mission_Ticket_1
Mission_Ticket_6	Mission_Ticket_1
Mission_Ticket_7	Mission_Ticket_1
Mission_Ticket_8	Mission_Ticket_1
Mission_Ticket_9	Mission_Ticket_1
Mission_Ticket_10	Mission_Ticket_1
Mission_Ticket_11	Mission_Ticket_1
Mission_Ticket_12	Mission_Ticket_1
Gym_Pass	Clothing_Voucher
Author's_Autograph	Doodled_Message
Author's_Memo	Worn_Out_Page
Fragment_of_Darkness	Lava
Crystal_of_Darkness	Black_Charm_Stone
Morroc_Skin	Piece_of_Black_Cloth
Badge_of_Valor	Badge_of_Bravery
Dusk_Glow	Essence_of_Fire
Valkyrie's_Gift	Valhalla's_Flower
Gold_Key	Key_of_Clock_Tower
Lusalka's_Hair	Black_Hair
Golden_Thread	Holy_Threads
Baba_Yaga's_Silver_Spoon	Spoon_Stub
Mystery_Magic_Book	Pile_of_Books
Sharp_Branch	Piece_of_Bamboo
Wooden_Flute	Piece_of_Bamboo
Expedition_Report	Neat_Report
Expedition_Report_Vol1	Morroc_Tracing_Log
Expedition_Report_Vol2	Morroc_Tracing_Log
Expedition_Report_Vol3	Morroc_Tracing_Log
Expedition_Report_Vol4	Morroc_Tracing_Log
Sword_	Sword
Falchion_	Falchion
Blade_	Blade
Rapier_	Rapier
Scimiter_	Scimiter
Katana_	Katana
Tsurugi_	Tsurugi
Ring_Pommel_Saber_	Ring_Pommel_Saber
Saber_	Saber
Haedonggum_	Haedonggum
Town_Sword_	Town_Sword
Flamberge_	Flamberge
Slayer_	Slayer
Bastard_Sword_	Bastard_Sword
Two-Handed_Sword_	Two-Handed_Sword
Broad_Sword_	Broad_Sword
Zweihander_	Zweihander
Claymore_	Claymore
Schweizersabel_	Schweizersabel
Executioner_	Executioner
Dragon_Slayer_	Dragon_Slayer
Brave_Katzbalger	Katzbalger
Valorous_Katzbalger	Katzbalger
Glorious_Claymore	Claymore
Knife_	Knife
Cutter_	Cutter
Main_Gauche_	Main_Gauche
Dirk_	Dirk
Dagger_	Dagger
Stiletto_	Stiletto
Gladius_	Gladius
Damascus_	Damascus
Novice_Main_Gauche	Main_Gauche
Cinquedea_	Cinquedea
Jur_	Jur
Katar_	Katar
Jamadhar_	Jamadhar
Infiltrator_	Infiltrator
Katar_of_Frozen_Icicle_	Katar_of_Frozen_Icicle
Katar_of_Quaking_	Katar_of_Quaking
Katar_of_Raging_Blaze_	Katar_of_Raging_Blaze
Katar_of_Piercing_Wind_	Katar_of_Piercing_Wind
Valorous_Katar	Brave_Katar
Glorious_Bloody_Roar	Bloody_Roar
Glorious_Jamadhar	Jamadhar
Axe_	Axe
Orcish_Axe_	Orcish_Axe
Glorious_Cleaver	Cleaver
Battle_Axe_	Battle_Axe
Hammer	Wind_Hammer
Hammer_	Wind_Hammer
Buster_	Buster
Two-Handed_Axe_	Two-Handed_Axe
Doom_Slayer_	Doom_Slayer
Brave_Battle_Axe	Battle_Axe
Valorous_Battle_Axe	Battle_Axe
Glorious_Two-Handed_Axe	Two-Handed_Axe
Javelin_	Javelin
Spear_	Spear
Pike_	Pike
Lance_	Lance
Gungnir_	Gungnir
Assaulter_Spear	Spear
Glorious_Spear	Spear
Guisarme_	Guisarme
Glaive_	Glaive
Partizan_	Partizan
Trident_	Trident
Halberd_	Halberd
Crescent_Scythe_	Crescent_Scythe
Spectral_Spear_	Spectral_Spear
Gae_Bolg_	Gae_Bolg
Zephyrus_	Zephyrus
Assaulter_Lance	Lance
Glorious_Lance	Lance
Club_	Club
Mace_	Mace
Smasher_	Smasher
Flail_	Flail
Morning_Star_	Morning_Star
Sword_Mace_	Sword_Mace
Chain_	Chain
Stunner_	Stunner
Spike_	Spike
Golden_Mace_	Golden_Mace
Grand_Cross_	Grand_Cross
Brave_Morning_Star	Morning_Star
Valorous_Morning_Star	Morning_Star
Glorious_Morning_Star	Flail
Bible	Mammi's_Photo_Album
Book_of_the_Apocalypse	Kafra_Legend_Vol.1
Girl's_Diary	Bruspetti's_Diary
Sage's_Diary	Research_Note
Hardcover_Book	Chef_King_Orleans_Vol.1
Book_of_Billows_	Book_of_Billows
Book_of_Mother_Earth_	Book_of_Mother_Earth
Book_of_Blazing_Sun_	Book_of_Blazing_Sun
Book_of_Gust_of_Wind_	Book_of_Gust_of_Wind
Brave_Book	Mammi's_Photo_Album
Valorous_Book	Mammi's_Photo_Album
Glorious_Tablet	Tablet
Glorious_Book	Kafra_Legend_Vol.1
Rod_	Rod
Wand_	Wand
Staff_	Staff
Arc_Wand_	Arc_Wand
Survivor's_Rod_	Survivor's_Rod
Survivor's_Rod___	Survivor's_Rod__
Hypnotist's_Staff_	Hypnotist's_Staff
Brave_Arc_Wand	Mighty_Staff
Valorous_Arc_Wand	Mighty_Staff
Brave_Recovery_Wand	Hypnotist's_Staff
Valorous_Recovery_Wand	Hypnotist's_Staff
Thorn_Staff_of_Darkness	Evil_Bone_Wand
Novice_Rod	Rod
Glorious_Arc_Wand	Hypnotist's_Staff
Glorious_Recovery_Wand	Hypnotist's_Staff
Bow_	Bow
Composite_Bow_	Composite_Bow
Great_Bow_	Great_Bow
Cross_Bow_	Cross_Bow
Arbalest_Bow_	Arbalest_Bow
Gakkung_Bow_	Gakkung_Bow
Hunter_Bow_	Hunter_Bow
Ballista_	Ballista
Brave_Cross_Bow	Cross_Bow
Valorous_Cross_Bow	Cross_Bow
Glorious_Bow	Hunter_Bow
Waghnak_	Waghnak
Knuckle_Dusters_	Knuckle_Dusters
Studded_Knuckles_	Studded_Knuckles
Fist_	Fist
Claw_	Claw
Finger_	Finger
Berserk_	Berserk
Brave_Fist	Fist
Valorous_Fist	Fist
Glorious_Claw	Claw
Glorious_Fist	Fist
Violin_	Violin
Mandolin_	Mandolin
Lute_	Lute
Guitar_	Guitar
Harp_	Harp
Gumoongoh_	Gumoongoh
Oriental_Lute_	Oriental_Lute
Brave_Guitar	Guitar
Valorous_Guitar	Guitar
Rope_	Rope
Cord_	Cord
Wire_Whip_	Wire_Whip
Rante_Whip_	Rante_Whip
Tail_Whip_	Tail_Whip
Leather_Whip_	Leather_Whip
Queen's_Whip_	Queen's_Whip
Brave_Lariat	Lariat_Whip
Valorous_Lariat	Lariat_Whip
Glorious_Lariat	Lariat_Whip
Glorious_Staff	Wizardry_Staff
Cowardice_Blade_	Cowardice_Blade
Jitte_	Jitte
Asura_	Asura
Murasame_	Murasame
Hakujin_	Hakujin
Poison_Knife_	Poison_Knife
Ice_Pick	Ice_pick
Sucsamad_	Sucsamad
Ginnungagap_	Ginnungagap
Dragon_Killer_	Dragon_Killer
Swordbreaker_	Swordbreaker
Mailbreaker_	Mailbreaker
Assassin_Dagger_	Assassin_Dagger
Brave_Damascus	Damascus
Valorous_Damascus	Damascus
Glorious_Gladius	Kamaitachi
Six_Shooter_	Six_Shooter
Crimson_Bolt_	Crimson_Bolt
Garrison_	Garrison
Soldier_Pistol	Six_Shooter
Glorious_Pistol	Gold_Lux
Cyclone_	Cyclone
Butcher_	Butcher
Destroyer_	Destroyer
Long_Barrel_	Long_Barrel
Jungle_Carbine_	Jungle_Carbine
Thunder_P_	Thunder_P
Soldier_Rifle	Cyclone
Soldier_Gatling_Gun	Drifter
Soldier_Shotgun	Gate_Keeper
Soldier_Grenade_Launcher	Destroyer
Glorious_Rifle	Long_Barrel
Glorious_Gatling_Gun	Drifter
Glorious_Shotgun	Black_Rose
Glorious_Grenade_Launcher	Inferno
Huuma_Giant_Wheel_Shuriken_	Huuma_Giant_Wheel_Shuriken
Brave_Huuma	Huuma_Giant_Wheel_Shuriken
Valorous_Huuma	Huuma_Giant_Wheel_Shuriken
Glorious_Huuma	Huuma_of_Calm_Mind
Cutlus_	Cutlus
Brave_Blade	Star_Dust_Blade
Valorous_Blade	Star_Dust_Blade
Glorious_Flamberge	Flamberge
Glorious_Rapier	Rapier
Glorious_Holy_Avenger	Holy_Avenger
Guard_	Guard
Buckler_	Buckler
Shield_	Shield
Mirror_Shield_	Mirror_Shield
Novice_Guard	Guard
Arm_Guard_	Arm_Guard
Advanced_Arm_Guard_	Advanced_Arm_Guard
Memory_Book_	Memory_Book
Sacred_Mission_	Sacred_Mission
Sunglasses_	Sunglasses
Glasses_	Glasses
Ribbon	Cool_Summer_Outfit
Ribbon_	Cool_Summer_Outfit
Biretta_	Biretta
Hat_	Hat
Turban_	Turban
Goggles_	Goggles
Cap_	Cap
Helm_	Helm
Gemmed_Sallet_	Gemmed_Sallet
Circlet_	Circlet
Unicorn_Horn	Horn_of_Hillslion
Cotton_Shirt_	Cotton_Shirt
Jacket_	Jacket
Adventurer's_Suit_	Adventurer's_Suit
Mantle_	Mantle
Coat_	Coat
Padded_Armor_	Padded_Armor
Chain_Mail_	Chain_Mail
Full_Plate_	Full_Plate
Silk_Robe_	Silk_Robe
Scapulare_	Scapulare
Saint's_Robe_	Saint's_Robe
Wooden_Mail_	Wooden_Mail
Tights_	Tights
Silver_Robe_	Silver_Robe
Thief_Clothes_	Thief_Clothes
Legion_Plate_Armor_	Legion_Plate_Armor
Lucius's_Volcano_Armor_	Lucius's_Volcano_Armor
Saphien's_Ocean_Armor_	Saphien's_Ocean_Armor
Aebecee's_Typhoon_Armor_	Aebecee's_Typhoon_Armor
Claytos_Earth_Armor_	Claytos_Earth_Armor
Novice_Ninja_Suit	Adventurer's_Suit
Ninja_Suit_	Ninja_Suit
Robe_of_Cast_	Robe_of_Cast
Pantie_	Pantie
Mage_Coat_	Mage_Coat
Holy_Robe_	Holy_Robe
Assaulter_Plate	Full_Plate
Elite_Engineer_Armor	Chain_Mail
Assassin_Robe	Thief_Clothes
Warlock's_Battle_Robe	Angel's_Protection
Elite_Shooter_Suit	Orleans's_Gown
Glorious_Suit	Adventurer's_Suit
Glorious_Popularized_Suit	Adventurer's_Suit
Glorious_Mass-Produced_Suit	Adventurer's_Suit
Sandals_	Sandals
Shoes_	Shoes
Boots_	Boots
Greaves_	Greaves
Novice_Slippers	Sandals
Iron_Boots	Greaves
Iron_Boots_	Greaves
High_Heels_	High_Heels
Black_Leather_Boots_	Black_Leather_Boots
Glorious_Shoes	Battle_Boots
Glorious_Popularized_Shoes	Battle_Boots
Glorious_Mass-Produced_Shoes	Battle_Boots
Hood_	Hood
Muffler_	Muffler
Manteau_	Manteau
Somber_Novice_Hood	Hood
Undershirt_	Undershirt
Ancient_Cape_	Ancient_Cape
Rider_Insignia_	Rider_Insignia
Sheriff's_Manteau	Ragamuffin_Manteau
Flame_Manteau_of_Naght_Sieger	Ancient_Cape
Glorious_Muffler	Ulfhedinn
Safety_Ring	Red_Ring
Ring_	Ring
Earring_	Earring
Necklace_	Necklace
Glove_	Glove
Brooch_	Brooch
Rosary_	Rosary
Serin's_Gold_Ring_	Serin's_Gold_Ring
Nile_Rose_	Nile_Rose
Vesper_Core_01	Power_Device
Vesper_Core_02	Power_Device
Vesper_Core_03	Power_Device
Vesper_Core_04	Power_Device
Bow_Thimble_	Bow_Thimble
Lesser_Elemental_Ring	Spiritual_Ring
Skull_Ring_	Skull_Ring
Medal_of_Honor	Badge_of_Bravery
Glorious_Ring	Morpheus's_Ring
Glorious_Popularized_Ring	Morpheus's_Ring
Glorious_Mass-Produced_Ring	Morpheus's_Ring
Lure	Earthworm_the_Dude
Novice_Eggshell	Egg_Shell
Blue_Fish	Marlin
Coif_	Coif
Super_Novice_Hat_	Super_Novice_Hat
Bucket_Hat_	Bucket_Hat
Antonio's_Santa_Hat	Santa_Hat
Orc_Helm_	Orc_Helm
Monk_Hat_	Monk_Hat
Golden_Gear_	Golden_Gear
Majestic_Goat_	Majestic_Goat
Spiky_Band_	Spiky_Band
Bone_Helm_	Bone_Helm
Corsair_	Corsair
Tiara_	Tiara
Crown_	Crown
Sphinx_Hat_	Sphinx_Hat
Munak_Hat_	Munak_Hat
Bongun_Hat_	Bongun_Hat
Ph.D_Hat_	Ph.D_Hat
Big_Ribbon_	Big_Ribbon
Boy's_Cap_	Boy's_Cap
Pirate_Bandana_	Pirate_Bandana
Sunflower_	Sunflower
Hat_of_the_Sun_God_	Hat_of_the_Sun_God
Fabre_Card	Poring_Card
Pupa_Card	Poring_Card
Drops_Card	Poring_Card
Santa_Poring_Card	Poring_Card
Lunatic_Card	Poring_Card
Peco_Peco_Egg_Card	Poring_Card
Picky_Card	Poring_Card
Chonchon_Card	Poring_Card
Willow_Card	Poring_Card
Picky_Egg_Card	Poring_Card
Thief_Bug_Egg_Card	Poring_Card
Ant_Egg_Card	Poring_Card
Roda_Frog_Card	Poring_Card
Condor_Card	Poring_Card
Thief_Bug_Card	Poring_Card
Savage_Babe_Card	Poring_Card
Andre_Larva_Card	Poring_Card
Hornet_Card	Poring_Card
Familiar_Card	Poring_Card
Rocker_Card	Poring_Card
Spore_Card	Poring_Card
Baby_Desert_Wolf_Card	Poring_Card
Plankton_Card	Poring_Card
Skeleton_Card	Poring_Card
Female_Thief_Bug_Card	Poring_Card
Kukre_Card	Poring_Card
Tarou_Card	Poring_Card
Wolf_Card	Poring_Card
Mandragora_Card	Poring_Card
Peco_Peco_Card	Poring_Card
Ambernite_Card	Poring_Card
Poporing_Card	Poring_Card
Wormtail_Card	Poring_Card
Hydra_Card	Poring_Card
Muka_Card	Poring_Card
Boa_Card	Poring_Card
Zombie_Card	Poring_Card
Stainer_Card	Poring_Card
Creamy_Card	Poring_Card
Coco_Card	Poring_Card
Steel_Chonchon_Card	Poring_Card
Andre_Card	Poring_Card
Smokie_Card	Poring_Card
Horn_Card	Poring_Card
Martin_Card	Poring_Card
Ghostring_Card	Poring_Card
Poison_Spore_Card	Poring_Card
Vadon_Card	Poring_Card
Male_Thief_Bug_Card	Poring_Card
Yoyo_Card	Poring_Card
Elder_Willow_Card	Poring_Card
Vitata_Card	Poring_Card
Angeling_Card	Poring_Card
Marina_Card	Poring_Card
Dustiness_Card	Poring_Card
Metaller_Card	Poring_Card
Thara_Frog_Card	Poring_Card
Soldier_Andre_Card	Poring_Card
Goblin_Card	Poring_Card
Cornutus_Card	Poring_Card
Anaconda_Card	Poring_Card
Caramel_Card	Poring_Card
Zerom_Card	Poring_Card
Kaho_Card	Poring_Card
Orc_Warrior_Card	Poring_Card
Megalodon_Card	Poring_Card
Scorpion_Card	Poring_Card
Drainliar_Card	Poring_Card
Eggyra_Card	Poring_Card
Orc_Zombie_Card	Poring_Card
Golem_Card	Poring_Card
Pirate_Skel_Card	Poring_Card
Bigfoot_Card	Poring_Card
Argos_Card	Poring_Card
Magnolia_Card	Poring_Card
Phen_Card	Poring_Card
Savage_Card	Poring_Card
Mantis_Card	Poring_Card
Flora_Card	Poring_Card
Hode_Card	Poring_Card
Desert_Wolf_Card	Poring_Card
Rafflesia_Card	Poring_Card
Marine_Sphere_Card	Poring_Card
Orc_Skeleton_Card	Poring_Card
Soldier_Skeleton_Card	Poring_Card
Giearth_Card	Poring_Card
Frilldora_Card	Poring_Card
Swordfish_Card	Poring_Card
Munak_Card	Poring_Card
Kobold_Card	Poring_Card
Skel_Worker_Card	Poring_Card
Obeaune_Card	Poring_Card
Archer_Skeleton_Card	Poring_Card
Marse_Card	Poring_Card
Zenorc_Card	Poring_Card
Matyr_Card	Poring_Card
Dokebi_Card	Poring_Card
Pasana_Card	Poring_Card
Sohee_Card	Poring_Card
Sandman_Card	Poring_Card
Whisper_Card	Poring_Card
Horong_Card	Poring_Card
Requiem_Card	Poring_Card
Marc_Card	Poring_Card
Mummy_Card	Poring_Card
Verit_Card	Poring_Card
Myst_Card	Poring_Card
Jakk_Card	Poring_Card
Ghoul_Card	Poring_Card
Strouf_Card	Poring_Card
Marduk_Card	Poring_Card
Marionette_Card	Poring_Card
Argiope_Card	Poring_Card
Hunter_Fly_Card	Poring_Card
Isis_Card	Poring_Card
Sidewinder_Card	Poring_Card
Earth_Petite_Card	Poring_Card
Bathory_Card	Poring_Card
Sky_Petite_Card	Poring_Card
Phreeoni_Card	Poring_Card
Deviruchi_Card	Poring_Card
Eddga_Card	Poring_Card
Medusa_Card	Poring_Card
Deviace_Card	Poring_Card
Minorous_Card	Poring_Card
Nightmare_Card	Poring_Card
Golden_Thief_Bug_Card	Poring_Card
Baphomet_Jr._Card	Poring_Card
Moonlight_Flower_Card	Poring_Card
Mistress_Card	Poring_Card
Raydric_Card	Poring_Card
Dracula_Card	Poring_Card
Orc_Lord_Card	Poring_Card
Khalitzburg_Card	Poring_Card
Drake_Card	Poring_Card
Anubis_Card	Poring_Card
Joker_Card	Poring_Card
Abyssal_Knight_Card	Poring_Card
Evil_Druid_Card	Poring_Card
Doppelganger_Card	Poring_Card
Orc_Hero_Card	Poring_Card
Osiris_Card	Poring_Card
Beelzebub_Card	Poring_Card
Maya_Card	Poring_Card
Baphomet_Card	Poring_Card
Pharaoh_Card	Poring_Card
Gargoyle_Card	Poring_Card
Goat_Card	Poring_Card
Gajomart_Card	Poring_Card
Galapago_Card	Poring_Card
Crab_Card	Poring_Card
Dumpling_Kid_Card	Poring_Card
Goblin_Leader_Card	Poring_Card
Goblin_Steamrider_Card	Poring_Card
Goblin_Archer_Card	Poring_Card
Sky_Deleter_Card	Poring_Card
Nine_Tail_Card	Poring_Card
Firelock_Soldier_Card	Poring_Card
Grand_Peco_Card	Poring_Card
Grizzly_Card	Poring_Card
Gryphon_Card	Poring_Card
Gullinbursti_Card	Poring_Card
Gig_Card	Poring_Card
Nightmare_Terror_Card	Poring_Card
Nereid_Card	Poring_Card
Dark_Lord_Card	Poring_Card
Dark_Illusion_Card	Poring_Card
Dark_Frame_Card	Poring_Card
Dark_Priest_Card	Poring_Card
The_Paper_Card	Poring_Card
Demon_Fungus_Card	Poring_Card
Deviling_Card	Poring_Card
Poisonous_Toad_Card	Poring_Card
Dullahan_Card	Poring_Card
Dryad_Card	Poring_Card
Dragon_Tail_Card	Poring_Card
Dragon_Fly_Card	Poring_Card
Driller_Card	Poring_Card
Disguise_Card	Poring_Card
Diabolic_Card	Poring_Card
Vagabond_Wolf_Card	Poring_Card
Lava_Golem_Card	Poring_Card
Rideword_Card	Poring_Card
Raggler_Card	Poring_Card
Raydric_Archer_Card	Poring_Card
Leib_Olmai_Card	Poring_Card
Wraith_Dead_Card	Poring_Card
Wraith_Card	Poring_Card
Loli_Ruri_Card	Poring_Card
Rotar_Zairo_Card	Poring_Card
Lude_Card	Poring_Card
Rybio_Card	Poring_Card
Leaf_Cat_Card	Poring_Card
Marin_Card	Poring_Card
Mastering_Card	Poring_Card
Maya_Purple_Card	Poring_Card
Merman_Card	Poring_Card
Megalith_Card	Poring_Card
Majorous_Card	Poring_Card
Mao_Guai_Card	Poring_Card
Mutant_Dragonoid_Card	Poring_Card
Mini_Demon_Card	Poring_Card
Mimic_Card	Poring_Card
Myst_Case_Card	Poring_Card
Mistilteinn_Card	Poring_Card
Miyabi_Doll_Card	Poring_Card
Violy_Card	Poring_Card
Wanderer_Card	Poring_Card
Vocal_Card	Poring_Card
Bongun_Card	Poring_Card
Brilight_Card	Poring_Card
Bloody_Murderer_Card	Poring_Card
Blazer_Card	Poring_Card
Sasquatch_Card	Poring_Card
Enchanted_Peach_Tree_Card	Poring_Card
Succubus_Card	Poring_Card
Sage_Worm_Card	Poring_Card
Solider_Card	Poring_Card
Skeleton_General_Card	Poring_Card
Skel_Prisoner_Card	Poring_Card
Stalactic_Golem_Card	Poring_Card
Stem_Worm_Card	Poring_Card
Stone_Shooter_Card	Poring_Card
Sting_Card	Poring_Card
Spring_Rabbit_Card	Poring_Card
Sleeper_Card	Poring_Card
Cloud_Tower_Manager_Card	Poring_Card
Shinobi_Card	Poring_Card
Mi_Gao_Card	Poring_Card
Hermit_Plant_Card	Poring_Card
Baby_Leopard_Card	Poring_Card
Anolian_Card	Poring_Card
Christmas_Cookie_Card	Poring_Card
Amon_Ra_Card	Poring_Card
Owl_Duke_Card	Poring_Card
Owl_Baron_Card	Poring_Card
Iron_Fist_Card	Poring_Card
Arclouse_Card	Poring_Card
Archangeling_Card	Poring_Card
Apocalypse_Card	Poring_Card
Antonio_Card	Poring_Card
Alarm_Card	Poring_Card
Am_Mut_Card	Poring_Card
Assaulter_Card	Poring_Card
Aster_Card	Poring_Card
Ancient_Mummy_Card	Poring_Card
Ancient_Worm_Card	Poring_Card
Executioner_Card	Poring_Card
Elder_Card	Poring_Card
Alligator_Card	Poring_Card
Alice_Card	Poring_Card
Tyrfing_Card	Poring_Card
Orc_Lady_Card	Poring_Card
Orc_Archer_Card	Poring_Card
Wild_Rose_Card	Poring_Card
Evil_Nymph_Card	Poring_Card
Wooden_Golem_Card	Poring_Card
Wootan_Shooter_Card	Poring_Card
Wootan_Fighter_Card	Poring_Card
Cloud_Hermit_Card	Poring_Card
Samurai_Specter_Card	Poring_Card
Wind_Ghost_Card	Poring_Card
Jing_Guai_Card	Poring_Card
Eclipse_Card	Poring_Card
Explosion_Card	Poring_Card
Injustice_Card	Poring_Card
Incubus_Card	Poring_Card
Giant_Spider_Card	Poring_Card
Giant_Hornet_Card	Poring_Card
Zhu_Po_Long_Card	Poring_Card
Shellfish_Card	Poring_Card
Zombie_Master_Card	Poring_Card
Zombie_Prisoner_Card	Poring_Card
Lord_of_The_Dead_Card	Poring_Card
Zealotus_Card	Poring_Card
Gibbet_Card	Poring_Card
Earth_Deleter_Card	Poring_Card
Geographer_Card	Poring_Card
Zipper_Bear_Card	Poring_Card
Tengu_Card	Poring_Card
Greatest_General_Card	Poring_Card
Chepet_Card	Poring_Card
Choco_Card	Poring_Card
Karakasa_Card	Poring_Card
Kappa_Card	Poring_Card
Carat_Card	Poring_Card
Caterpillar_Card	Poring_Card
Cat_O'_Nine_Tails_Card	Poring_Card
Kobold_Leader_Card	Poring_Card
Kobold_Archer_Card	Poring_Card
Cookie_Card	Poring_Card
Quve_Card	Poring_Card
Kraben_Card	Poring_Card
Cramp_Card	Poring_Card
Cruiser_Card	Poring_Card
Creamy_Fear_Card	Poring_Card
Clock_Card	Poring_Card
Chimera_Card	Poring_Card
Killer_Mantis_Card	Poring_Card
Tao_Gunka_Card	Poring_Card
Giant_Whisper_Card	Poring_Card
Tamruan_Card	Poring_Card
Turtle_General_Card	Poring_Card
Toad_Card	Poring_Card
Beetle_King_Card	Poring_Card
Tri_Joint_Card	Poring_Card
Parasite_Card	Poring_Card
Panzer_Goblin_Card	Poring_Card
Permeter_Card	Poring_Card
Fur_Seal_Card	Poring_Card
Punk_Card	Poring_Card
Penomena_Card	Poring_Card
Pest_Card	Poring_Card
False_Angel_Card	Poring_Card
Mobster_Card	Poring_Card
Stormy_Knight_Card	Poring_Card
Freezer_Card	Poring_Card
Bloody_Knight_Card	Poring_Card
