Name,Code,WalkData,MapMode,Music
Payon Guild Castles,pay_gld,pay_gld.walk,Field,66.mp3
Payon Dungeon 1F,pay_dun00,pay_dun00.walk,Dungeon,20.mp3
Payon Dungeon 2F,pay_dun01,pay_dun01.walk,Dungeon,20.mp3
Payon Dungeon 3F,pay_dun02,pay_dun02.walk,Dungeon,20.mp3
Payon Dungeon 4F,pay_dun03,pay_dun03.walk,Dungeon,47.mp3
Payon Dungeon 5F,pay_dun04,pay_dun04.walk,Dungeon,47.mp3
Prontera,prontera,prontera.walk,Town,08.mp3
Prontera Indoors,prt_in,prt_in.walk,None,08.mp3
Prontera Castle,prt_castle,prt_castle.walk,None,09.mp3
Prontera Santuary,prt_church,prt_church.walk,None,10.mp3
Prontera Field 0,prt_fild00,prt_fild00.walk,Field,05.mp3
Prontera Field 1,prt_fild01,prt_fild01.walk,Field,12.mp3
Prontera Field 2,prt_fild02,prt_fild02.walk,Field,05.mp3
Prontera Field 3,prt_fild03,prt_fild03.walk,Field,05.mp3
Prontera Field 4,prt_fild04,prt_fild04.walk,Field,05.mp3
Prontera Field 5,prt_fild05,prt_fild05.walk,Field,12.mp3
Prontera Field 6,prt_fild06,prt_fild06.walk,Field,12.mp3
Prontera Field 7,prt_fild07,prt_fild07.walk,Field,05.mp3
Prontera Field 8,prt_fild08,prt_fild08.walk,Field,12.mp3
Prontera Field 9,prt_fild09,prt_fild09.walk,Field,04.mp3
Prontera Field 10,prt_fild10,prt_fild10.walk,Field,04.mp3
Prontera Field 11,prt_fild11,prt_fild11.walk,Field,04.mp3
Forest Labyrinth 1F,prt_maze01,prt_maze01.walk,Field,16.mp3
Forest Labyrinth 2F,prt_maze02,prt_maze02.walk,Field,16.mp3
Forest Labyrinth 3F,prt_maze03,prt_maze03.walk,Field,16.mp3
Alberta,alberta,alberta.walk,Town,15.mp3
Alberta Indoors,alberta_in,alberta_in.walk,None,15.mp3
Aldebaran,aldebaran,aldebaran.walk,Town,39.mp3
Aldebaran Indoors,aldeba_in,aldeba_in.walk,None,39.mp3
Debug Room,2009rwc_03,2009rwc_03.walk,None,111.mp3
Debug Room 2,guild_vs4,guild_vs4.walk,None,89.mp3
Clock Tower B1f,alde_dun01,alde_dun01.walk,Dungeon,61.mp3
Clock Tower B2f,alde_dun02,alde_dun02.walk,Dungeon,61.mp3
Clock Tower B3f,alde_dun03,alde_dun03.walk,Dungeon,61.mp3
Clock Tower B4f,alde_dun04,alde_dun04.walk,Dungeon,61.mp3
Clock Tower 1f,c_tower1,c_tower1.walk,Dungeon,60.mp3
Clock Tower 2f,c_tower2,c_tower2.walk,Dungeon,60.mp3
Clock Tower 3f,c_tower3,c_tower3.walk,Dungeon,60.mp3
Clock Tower 4f,c_tower4,c_tower4.walk,Dungeon,60.mp3
Valkyrie Realm,prt_gld,prt_gld.walk,Field,66.mp3
Glast Heim,glast_01,glast_01.walk,Field,42.mp3
Glast Heim Castle 1F,gl_cas01,gl_cas01.walk,Dungeon,43.mp3
Glast Heim Castle 2F,gl_cas02,gl_cas02.walk,Dungeon,43.mp3
Glast Heim St. Abbey,gl_church,gl_church.walk,Dungeon,40.mp3
Glast Heim Catacombs,gl_chyard,gl_chyard.walk,Dungeon,40.mp3
The Lowest Cave in Glast Heim B1F,gl_dun01,gl_dun01.walk,Dungeon,42.mp3
The Lowest Cave in Glast Heim B2F,gl_dun02,gl_dun02.walk,Dungeon,42.mp3
Glast Heim Keep,gl_in01,gl_in01.walk,Dungeon,42.mp3
Glast Heim Chivalry 1F,gl_knt01,gl_knt01.walk,Dungeon,44.mp3
Glast Heim Chivalry 2F,gl_knt02,gl_knt02.walk,Dungeon,44.mp3
Glast Heim Underprison B1F,gl_prison,gl_prison.walk,Dungeon,40.mp3
Glast Heim Underprison B2F,gl_prison1,gl_prison1.walk,Dungeon,40.mp3
Glast Heim Culvert B1F,gl_sew01,gl_sew01.walk,Dungeon,48.mp3
Glast Heim Culvert B2F,gl_sew02,gl_sew02.walk,Dungeon,48.mp3
Glast Heim Culvert B3F,gl_sew03,gl_sew03.walk,Dungeon,48.mp3
Glast Heim Culvert B4F,gl_sew04,gl_sew04.walk,Dungeon,48.mp3
Glast Heim Staircase Dungeon,gl_step,gl_step.walk,Dungeon,42.mp3
Mjolnir Dead Pit 1F,mjo_dun01,mjo_dun01.walk,Dungeon,27.mp3
Mjolnir Dead Pit 2F,mjo_dun02,mjo_dun02.walk,Dungeon,27.mp3
Mjolnir Dead Pit 3F,mjo_dun03,mjo_dun03.walk,Dungeon,27.mp3
Prontera Culvert 1F,prt_sewb1,prt_sewb1.walk,Dungeon,19.mp3
Prontera Culvert 2F,prt_sewb2,prt_sewb2.walk,Dungeon,19.mp3
Prontera Culvert 3F,prt_sewb3,prt_sewb3.walk,Dungeon,19.mp3
Prontera Culvert 4F,prt_sewb4,prt_sewb4.walk,Dungeon,19.mp3
Sunken Ship Upper Decks,treasure01,treasure01.walk,Dungeon,17.mp3
Sunken Ship Lower Decks,treasure02,treasure02.walk,Dungeon,17.mp3
Shipwreck Island,alb2trea,alb2trea.walk,Field,52.mp3
Byalan Island,izlu2dun,izlu2dun.walk,Field,52.mp3
Morroc Assassin Guild,in_moc_16,in_moc_16.walk,None,45.mp3
St. Capitolina Abbey,prt_monk,prt_monk.walk,Field,28.mp3
Border Post,yuno_fild01,yuno_fild01.walk,Field,71.mp3
Kiel Hyre's Cottage,yuno_fild02,yuno_fild02.walk,Field,71.mp3
El Mes Plateau,yuno_fild03,yuno_fild03.walk,Field,72.mp3
El Mes Plateau,yuno_fild04,yuno_fild04.walk,Field,72.mp3
El Mes Plateau,yuno_fild05,yuno_fild05.walk,Field,72.mp3
El Mes Plateau,yuno_fild06,yuno_fild06.walk,Field,72.mp3
El Mes Gorge (Valley of Abyss),yuno_fild07,yuno_fild07.walk,Field,72.mp3
Kiel Hyre Academy,yuno_fild08,yuno_fild08.walk,Field,71.mp3
Schwaltzwald Guard Camp,yuno_fild09,yuno_fild09.walk,Field,71.mp3
Juno Field,yuno_fild10,yuno_fild10.walk,Field,72.mp3
Juno Field,yuno_fild11,yuno_fild11.walk,Field,71.mp3
Border Checkpoint,yuno_fild12,yuno_fild12.walk,Field,71.mp3
"Juno, Capital of the Schwarzwald Republic",yuno,yuno.walk,Town,70.mp3
Inside Juno,yuno_in01,yuno_in01.walk,None,70.mp3
Inside the Sage Castle,yuno_in02,yuno_in02.walk,None,70.mp3
Inside Juno,yuno_in03,yuno_in03.walk,None,70.mp3
Republic Library,yuno_in04,yuno_in04.walk,None,70.mp3
Power Plant of Ymir's Heart,yuno_in05,yuno_in05.walk,None,70.mp3
Turtle Island,tur_dun01,tur_dun01.walk,Dungeon,65.mp3
Turtle Island Dungeon,tur_dun02,tur_dun02.walk,Dungeon,65.mp3
Good Turtles Village,tur_dun03,tur_dun03.walk,Dungeon,65.mp3
Turtle Palace,tur_dun04,tur_dun04.walk,Dungeon,65.mp3
Map,guild_room,guild_room.walk,Field,1.mp3
Map,new_1-1,new_1-1.walk,Field,1.mp3
Map,new_1-2,new_1-2.walk,Field,1.mp3
Map,new_1-3,new_1-3.walk,Field,1.mp3
Map,new_1-4,new_1-4.walk,Field,1.mp3
Map,poring_c01,poring_c01.walk,Field,1.mp3
Map,poring_c02,poring_c02.walk,Field,1.mp3
Map,pvp_n_1-4,pvp_n_1-4.walk,Field,1.mp3
Map,pvp_n_1-5,pvp_n_1-5.walk,Field,1.mp3
Map,sword_1-1,sword_1-1.walk,Field,1.mp3
Map,turbo_n_1,turbo_n_1.walk,Field,1.mp3
